Time,Throughput_kbps,,,
37.90757655,2025.375,,,15.90757655
38.0076242,2282.25,,,16.0076242
38.10767186,2112.125,,,16.10767186
38.20771951,3145.125,,,16.20771951
38.30776716,2683.25,,,16.30776716
38.40781481,2790.875,,,16.40781481
38.50786246,2494,,,16.50786246
38.60791011,2187.625,,,16.60791011
38.70795776,1430.625,,,16.70795776
38.80800541,2609.6875,,,16.80800541
38.90805307,1960.125,,,16.90805307
39.00810072,2376.875,,,17.00810072
39.10814837,2304.75,,,17.10814837
39.20819602,2861.25,,,17.20819602
39.30824367,2672,,,17.30824367
39.40829132,2672,,,17.40829132
39.50833897,2577.375,,,17.50833897
39.60838662,2198.875,,,17.60838662
39.70843428,2112.125,,,17.70843428
39.80848193,1095.6875,,,17.80848193
39.90852958,1547.75,,,17.90852958
40.00857723,473.125,,,18.00857723
40.10862488,1759.5,,,18.10862488
40.20867253,1525.25,,,18.20867253
40.30872018,2221.375,,,18.30872018
40.40876783,2093,,,18.40876783
40.50881549,2131.75,,,18.50881549
40.60886314,1915,,,18.60886314
40.70891079,2198.875,,,18.70891079
40.80895844,1525.25,,,18.80895844
40.90900609,1767.875,,,18.90900609
41.00905374,692.75,,,19.00905374
41.10910139,1971.25,,,19.10910139
41.20914905,1234.6875,,,19.20914905
41.3091967,2020.875,,,19.3091967
41.40924435,2104.25,,,19.40924435
41.509292,874.125,,,19.509292
41.60933965,473.125,,,19.60933965
41.7093873,11.25,,,19.7093873
41.80943495,9.8125,,,19.80943495
41.9094826,1441.875,,,19.9094826
42.00953026,2198.875,,,20.00953026
42.10957791,2198.875,,,20.10957791
42.20962556,3902.125,,,20.20962556
42.30967321,4576,,,20.30967321
42.40972086,4292.125,,,20.40972086
42.50976851,3050.5,,,20.50976851
42.60981616,3239.75,,,20.60981616
42.70986381,2086.1875,,,20.70986381
42.80991147,1408.9375,,,20.80991147
42.90995912,1073.1875,,,20.90995912
43.01000677,495.625,,,21.01000677
43.11005442,189.25,,,21.11005442
43.21010207,683.4375,,,21.21010207
43.31014972,1252.625,,,21.31014972
43.41019737,1663.8125,,,21.41019737
43.51024502,1727.4375,,,21.51024502
43.61029268,1619.875,,,21.61029268
43.71034033,2017.5,,,21.71034033
43.81038798,2577.375,,,21.81038798
43.91043563,2293.5,,,21.91043563
44.01048328,2125.3125,,,22.01048328
44.11053093,684.875,,,22.11053093
44.21057858,1063.375,,,22.21057858
44.31062623,1084.5,,,22.31062623
44.41067389,2693.0625,,,22.41067389
44.51072154,2834.125,,,22.51072154
44.61076919,2494.375,,,22.61076919
44.71081684,1379.5625,,,22.71081684
44.81086449,1645,,,22.81086449
44.91091214,2229.4375,,,22.91091214
45.01095979,2766.625,,,23.01095979
45.11100744,1842.8125,,,23.11100744
45.2110551,3204.4375,,,23.2110551
45.31110275,2548,,,23.31110275
45.4111504,2236.125,,,23.4111504
45.51119805,2672.0625,,,23.51119805
45.6112457,1775.25,,,23.6112457
45.71129335,2198.875,,,23.71129335
45.811341,2388.125,,,23.811341
45.91138865,1536.5,,,23.91138865
46.01143631,2210.125,,,24.01143631
46.11148396,2114.0625,,,24.11148396
46.21153161,2115.5,,,24.21153161
46.31157926,1263.875,,,24.31157926
46.41162691,1347.25,,,24.41162691
46.51167456,1831.625,,,24.51167456
46.61172221,1169.25,,,24.61172221
46.71176987,1209.3125,,,24.71176987
46.81181752,1241.375,,,24.81181752
46.91186517,1830.1875,,,24.91186517
47.01191282,1536.5,,,25.01191282
47.11196047,1650.25,,,25.11196047
47.21200812,1536.5,,,25.21200812
47.31205577,2009.625,,,25.31205577
47.41210342,3050.5,,,25.41210342
47.51215108,2754.125,,,25.51215108
47.61219873,3719.3125,,,25.61219873
47.71224638,3152.5625,,,25.71224638
47.81229403,2248.375,,,25.81229403
47.91234168,2967.125,,,25.91234168
48.01238933,3231.3125,,,26.01238933
48.11243698,3652,,,26.11243698
48.21248463,2482.75,,,26.21248463
48.31253229,1831.625,,,26.31253229
48.41257994,1998.375,,,26.41257994
48.51262759,2482.75,,,26.51262759
48.61267524,3061.75,,,26.61267524
48.71272289,2683.25,,,26.71272289
48.81277054,2187.625,,,26.81277054
