Time,Buffer,BandWidth,BitrateLevel,Clientnum
1712877175.182351,2,16122.24,1,1
1712877175.9334033,4,21528.48659479605,5,1
1712877176.4904952,5.458334,24028.10434957523,5,1
1712877176.960293,7.000001,26428.632662374388,5,1
1712877177.429545,8.509449,28268.308978543195,5,1
1712877177.8876154,10.060874,33384.51296207904,5,1
1712877178.3444748,11.618291,38759.82103769381,5,1
1712877178.8172662,13.125001000000001,45934.33483951507,5,1
1712877179.279269,14.676021,46109.026725372096,5,1
1712877179.750985,16.18837,46271.27064513845,5,1
1712877180.213501,17.745941000000002,46589.25860418646,5,1
1712877180.6694667,19.262165,44918.48600717669,5,1
1712877181.1390333,20.816302999999998,45181.34292542689,5,1
1712877181.607519,22.330153,44865.70132121481,5,1
1712877182.409995,23.560825,37809.094374112654,5,1
1712877183.2115755,24.749629,34950.955313101236,5,1
1712877183.9969778,25.941966,33046.477815466256,5,1
1712877184.6850035,27.291668,31559.59179969416,5,1
1712877185.6864626,28.275842,28656.175820395965,5,1
1712877186.591525,29.375000999999997,28315.952717219105,5,1
1712877187.5847206,30.362382,26925.499538274296,5,1
1712877188.482129,31.457053000000002,26741.69900078812,5,1
1712877189.3666246,32.564428,26344.83226147851,5,1
1712877190.2320502,33.708334,26401.87519929459,5,1
1712877191.0170238,34.958334,25823.965309657375,5,1
1712877191.5763905,36.375001,25637.577403193074,5,1
1712877192.1336794,37.806118,24411.376104560124,5,1
1712877192.7987647,39.155319,23420.98714859169,5,1
1712877193.55725,40.375001,23150.98708761179,5,1
1712877194.2377088,41.725941,23404.412398332468,5,1
1712877195.0186818,42.948632,23926.342133866492,5,1
1712877195.691394,44.250001,25073.33208128833,5,1
1712877196.3520164,45.599261999999996,25539.384973164837,5,1
1712877197.0032043,46.951704,25507.507400460712,5,1
1712877197.6729388,48.28635,24552.162799459522,5,1
1712877198.228676,49.720908,24864.108512896284,5,1
1712877198.7854283,51.157229,24103.7402169507,5,1
1712877199.3881345,52.625001,24218.33496604425,5,1
1712877199.9508657,53.977668,25110.264876283894,5,1
1712877200.5079195,55.454201,25562.256743070317,5,1
1712877201.183115,56.760132,25735.96144991855,5,1
1712877201.8539531,58.113997,25928.733936160046,5,1
1712877202.5250566,59.416668,26465.45742470505,5,1
1712877204.1940842,59.791668,27085.66921994905,5,1
1712877206.1540315,59.791668,18652.041990414877,5,1
1712877208.74534,59.791668,16376.063982414886,5,1
1712877210.2294436,59.831886,15101.050723702208,5,1
1712877212.490746,59.583334,14833.413802614321,5,1
1712877214.0656793,59.875001,13836.863469680959,5,1
1712877216.4179008,59.625001,16805.907052889943,5,1
1712877218.1980834,59.960571,18032.343502181295,5,1
1712877220.490579,59.500001,19871.023331030312,5,1
1712877222.651059,59.541668,18302.507479470907,5,1
1712877224.122564,59.824234,18741.902839556897,5,1
1712877226.1873858,59.91545,17766.168282624876,5,1
1712877228.3005676,59.915205,16915.34824445865,5,1
1712877230.546275,59.416668,15531.59310742202,5,1
1712877233.0006828,58.958334,15820.20115242126,5,1
1712877236.3880036,57.582606,16068.445034560824,5,1
1712877239.124163,56.849926,16429.10233119052,5,1
1712877240.6674616,57.291668,17093.818024329445,5,1
1712877241.8901567,58.071256000000005,18389.893784815853,5,1
1712877243.1884658,58.790217999999996,19950.842700665147,5,1
1712877244.7407687,59.207466999999994,23813.13581487908,5,1
1712877246.6359577,59.33130800000001,28582.936959783594,5,1
1712877248.401603,59.541668,29350.290901203814,5,1
1712877250.3613067,59.583333999999994,28674.77111542588,5,1
1712877252.4024787,59.916668,28517.311222649445,5,1
1712877254.2740085,59.666668,27446.229562670516,5,1
1712877256.3514597,59.666668,24776.134479055338,5,1
1712877258.0283725,59.958333999999994,22746.008553175157,5,1
1712877260.5077507,59.476226,21858.84597492389,5,1
1712877262.8164968,59.500001,19524.980115741644,5,1
1712877263.9877667,59.943873999999994,19007.198440381693,5,1
1712877266.4701004,59.583333999999994,20207.821146952567,5,1
1712877268.318447,59.625001,6218.212536541669,5,1
1712877270.0878878,59.914409000000006,5521.4476177556035,5,1
