Time,Buffer,BandWidth,BitrateLevel,Clientnum
1712876991.037249,2,5338.490066225166,1,1
1712876991.5744503,4,6647.122400889936,3,1
1712876992.2511396,5.332867,8857.876594075702,5,1
1712876992.7051823,6.888375,10049.362340783437,5,1
1712876993.1595955,8.445244,11157.018354562812,5,1
1712876993.613968,10.000001,34221.20543218815,5,1
1712876993.991252,11.590152,37634.57173408989,5,1
1712876994.3766518,13.22806,46358.887944170645,5,1
1712876994.7557092,14.823875000000001,46609.2205336991,5,1
1712876995.142339,16.457939,46419.82140527389,5,1
1712876995.5182517,18.090342,46741.15048192169,5,1
1712876995.8978736,19.687961,45053.17944656399,5,1
1712876996.3525436,21.241566,45246.06244240548,5,1
1712876996.8153472,22.791668,44865.70132121481,5,1
1712876997.3932729,24.208334,49780.44359277357,5,1
1712876997.9844244,25.597338999999998,54271.39826245753,5,1
1712876998.569472,27.029,58659.102009237315,5,1
1712876999.1341326,28.458334,55871.99452088453,5,1
1712876999.9036596,29.675266999999998,48186.58518445582,5,1
1712877000.6686153,30.908184,43486.35320288774,5,1
1712877001.4601645,32.123766,40394.20759035749,5,1
1712877002.3553023,33.230195,35071.911564904134,5,1
1712877003.2435348,34.333334,31896.003931335505,5,1
1712877004.03111,35.564288,30833.96866045247,5,1
1712877004.817718,36.791668,29000.406254335347,5,1
1712877005.3780174,38.213114,26974.170576881646,5,1
1712877005.8466635,39.729206,27248.660779759575,5,1
1712877006.421612,41.163277,28532.37713574432,5,1
1712877007.1030436,42.473579,28418.21580703975,5,1
1712877007.8828251,43.708334,26536.888512378355,5,1
1712877008.6481495,44.939873,26605.07678928014,5,1
1712877009.4092119,46.166668,24665.757116338158,5,1
1712877010.0746589,47.515867,23692.367692781034,5,1
1712877010.7306895,48.868858,22560.05236596576,5,1
1712877011.400723,50.208334,22871.89832840984,5,1
1712877011.9630935,51.640104,22954.844602601406,5,1
1712877012.5190465,53.074403000000004,23772.016434233086,5,1
1712877013.0766788,54.500001,24073.170135286637,5,1
1712877013.639057,55.971314,25232.8408211781,5,1
1712877014.2039075,57.405412999999996,25691.257335144463,5,1
1712877014.8665972,58.708334,25810.665881114735,5,1
1712877016.0404627,59.737017,25896.353726194513,5,1
1712877018.3020313,59.541668,24105.367342272366,5,1
1712877019.8838484,59.862491,17916.920541164036,5,1
1712877022.1550548,59.875001,17355.455464198785,5,1
1712877023.666131,59.916668,15417.930874986061,5,1
1712877025.946335,59.710585,15389.004689564035,5,1
1712877027.9091682,59.708334,14263.795073970981,5,1
1712877030.2049634,59.416668,15851.428356762479,5,1
1712877032.1327987,59.458334,15941.019794461068,5,1
1712877033.758946,59.993071,17750.48490553776,5,1
1712877036.1299405,59.708334,17873.344447619584,5,1
1712877038.209198,59.416668,18501.607434547364,5,1
1712877040.1727488,59.750001,17477.07997229288,5,1
1712877041.8414087,59.789364,17768.288362241467,5,1
1712877044.0459535,59.789814,17956.45281314408,5,1
1712877045.6416156,59.958334,18509.714968348566,5,1
1712877047.7892795,59.791668,20733.80741904403,5,1
1712877050.019567,59.582485,23204.429418043284,5,1
1712877052.961666,58.666668,21921.63361953878,5,1
1712877054.8213024,58.792546,21336.082588544985,5,1
1712877056.4526644,59.166668,20921.132358641484,5,1
