Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-11 01:46:58,0,142,0.2,0.4,0,0.03 | 0.14 | 0.26,0.99 | 1.98 | 2.90,0.69 | 1.01 | 2.01
2024-04-11 01:46:58,0,142,0.2,0.4,0,0.03 | 0.14 | 0.26,0.99 | 1.98 | 2.90,0.69 | 1.01 | 2.01
2024-04-11 01:46:59,3.317,142,0.2,0.4,0,0.12 | 0.55 | 0.98,0.42 | 0.83 | 1.24,1.62 | 2.42 | 4.78
2024-04-11 01:46:59,3.317,142,0.2,0.4,0,0.12 | 0.55 | 0.98,0.42 | 0.83 | 1.24,1.62 | 2.42 | 4.78
2024-04-11 01:47:00,2.256,142,0.2,0.2,0,0.12 | 0.55 | 0.98,0.42 | 0.83 | 1.24,1.62 | 2.42 | 4.78
2024-04-11 01:47:00,2.256,142,0.2,0.2,0,0.12 | 0.55 | 0.98,0.42 | 0.83 | 1.24,1.62 | 2.42 | 4.78
2024-04-11 01:47:01,3.465,142,0.2,0.2,0,0.12 | 0.64 | 0.98,0.42 | 0.73 | 1.24,1.62 | 2.76 | 4.78
2024-04-11 01:47:01,3.465,142,0.2,0.2,0,0.12 | 0.64 | 0.98,0.42 | 0.73 | 1.24,1.62 | 2.76 | 4.78
2024-04-11 01:47:02,4.4,647,0.4,0.2,0,0.12 | 0.67 | 0.98,0.42 | 0.65 | 1.24,1.62 | 3.07 | 4.78
2024-04-11 01:47:02,4.4,647,0.4,0.2,0,0.12 | 0.67 | 0.98,0.42 | 0.65 | 1.24,1.62 | 3.07 | 4.78
2024-04-11 01:47:03,5.329,647,0.4,0.2,0,0.12 | 0.63 | 0.83,0.35 | 0.43 | 0.52,3.83 | 4.66 | 5.75
2024-04-11 01:47:03,5.329,647,0.4,0.2,0,0.12 | 0.63 | 0.83,0.35 | 0.43 | 0.52,3.83 | 4.66 | 5.75
2024-04-11 01:47:04,4.274,647,0.4,0.2,0,0.12 | 0.63 | 0.83,0.35 | 0.43 | 0.52,3.83 | 4.66 | 5.75
2024-04-11 01:47:04,4.274,647,0.4,0.2,0,0.12 | 0.63 | 0.83,0.35 | 0.43 | 0.52,3.83 | 4.66 | 5.75
2024-04-11 01:47:05,3.477,647,0.4,0.2,0,0.12 | 0.63 | 0.83,0.35 | 0.43 | 0.52,3.83 | 4.66 | 5.75
2024-04-11 01:47:05,3.477,1904,0.8,0.2,0,0.12 | 0.63 | 0.83,0.35 | 0.43 | 0.52,3.83 | 4.66 | 5.75
2024-04-11 01:47:06,6.323,1904,0.8,0.2,0,0.07 | 0.47 | 0.83,0.23 | 0.81 | 2.23,0.90 | 2.47 | 8.73
2024-04-11 01:47:06,6.323,1904,0.8,0.2,0,0.07 | 0.47 | 0.83,0.23 | 0.81 | 2.23,0.90 | 2.47 | 8.73
2024-04-11 01:47:07,5.24,1904,0.8,0.2,0,0.07 | 0.47 | 0.83,0.23 | 0.81 | 2.23,0.90 | 2.47 | 8.73
2024-04-11 01:47:07,5.24,1904,0.8,0.2,0,0.07 | 0.47 | 0.83,0.23 | 0.81 | 2.23,0.90 | 2.47 | 8.73
2024-04-11 01:47:08,4.291,1904,0.8,0.4,0,0.07 | 0.47 | 0.83,0.23 | 0.81 | 2.23,0.90 | 2.47 | 8.73
2024-04-11 01:47:08,4.291,1904,0.8,0.4,0,0.07 | 0.47 | 0.83,0.23 | 0.81 | 2.23,0.90 | 2.47 | 8.73
2024-04-11 01:47:09,3.488,1904,0.8,0.4,0,0.07 | 0.47 | 0.83,0.23 | 0.81 | 2.23,0.90 | 2.47 | 8.73
2024-04-11 01:47:09,3.488,1904,0.8,0.4,0,0.07 | 0.47 | 0.83,0.23 | 0.81 | 2.23,0.90 | 2.47 | 8.73
2024-04-11 01:47:10,2.431,1904,0.8,0.2,0,0.07 | 0.47 | 0.83,0.23 | 0.81 | 2.23,0.90 | 2.47 | 8.73
2024-04-11 01:47:10,2.431,1093,0.6,0.2,0,0.07 | 0.47 | 0.83,0.23 | 0.81 | 2.23,0.90 | 2.47 | 8.73
2024-04-11 01:47:11,5.273,1093,0.6,0.2,0,0.04 | 0.33 | 0.95,0.23 | 1.50 | 3.30,0.61 | 1.33 | 8.77
2024-04-11 01:47:11,5.273,1093,0.6,0.2,0,0.04 | 0.33 | 0.95,0.23 | 1.50 | 3.30,0.61 | 1.33 | 8.77
2024-04-11 01:47:12,4.303,1093,0.6,0.8,0,0.04 | 0.33 | 0.95,0.23 | 1.50 | 3.30,0.61 | 1.33 | 8.77
2024-04-11 01:47:12,4.303,142,0.2,0.8,0,0.04 | 0.33 | 0.95,0.23 | 1.50 | 3.30,0.61 | 1.33 | 8.77
