Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-11 01:22:56,0,1093,0.6,0.6,0,0.22 | 0.44 | 0.61,0.30 | 0.83 | 1.67,1.20 | 2.40 | 6.71
2024-04-11 01:22:57,0,1093,0.6,0.6,0,0.22 | 0.44 | 0.61,0.30 | 0.83 | 1.67,1.20 | 2.40 | 6.71
2024-04-11 01:22:57,0,1093,0.6,0.6,0,0.22 | 0.44 | 0.61,0.30 | 0.83 | 1.67,1.20 | 2.40 | 6.71
2024-04-11 01:22:58,0,142,0.2,0.6,0,0.22 | 0.44 | 0.61,0.30 | 0.83 | 1.67,1.20 | 2.40 | 6.71
2024-04-11 01:22:58,1.249,142,0.2,0.6,0,0.90 | 0.90 | 0.90,2.31 | 2.31 | 2.31,0.87 | 0.87 | 0.87
2024-04-11 01:22:58,1.249,142,0.2,0.6,0,0.90 | 0.90 | 0.90,2.31 | 2.31 | 2.31,0.87 | 0.87 | 0.87
2024-04-11 01:22:59,2.407,142,0.2,0.6,0,0.14 | 0.52 | 0.90,0.74 | 1.53 | 2.31,0.87 | 1.31 | 2.68
2024-04-11 01:23:00,2.407,142,0.2,0.2,0,0.14 | 0.52 | 0.90,0.74 | 1.53 | 2.31,0.87 | 1.31 | 2.68
2024-04-11 01:23:00,3.394,142,0.2,0.2,0,0.14 | 0.54 | 0.90,0.48 | 1.18 | 2.31,0.87 | 1.70 | 4.15
2024-04-11 01:23:01,3.394,142,0.2,0.2,0,0.14 | 0.54 | 0.90,0.48 | 1.18 | 2.31,0.87 | 1.70 | 4.15
2024-04-11 01:23:01,6.332,1904,0.8,0.2,0,0.07 | 0.43 | 0.93,0.27 | 0.46 | 0.74,2.68 | 4.37 | 7.35
2024-04-11 01:23:01,6.332,1904,0.8,0.2,0,0.07 | 0.43 | 0.93,0.27 | 0.46 | 0.74,2.68 | 4.37 | 7.35
2024-04-11 01:23:02,5.262,142,0.2,0.2,0,0.07 | 0.43 | 0.93,0.27 | 0.46 | 0.74,2.68 | 4.37 | 7.35
2024-04-11 01:23:03,5.262,142,0.2,0.2,0,0.07 | 0.43 | 0.93,0.27 | 0.46 | 0.74,2.68 | 4.37 | 7.35
2024-04-11 01:23:03,8.295,142,0.2,0.2,0,0.07 | 0.30 | 0.93,0.26 | 0.29 | 0.33,6.06 | 6.90 | 7.78
2024-04-11 01:23:03,8.295,142,0.2,0.2,0,0.07 | 0.30 | 0.93,0.26 | 0.29 | 0.33,6.06 | 6.90 | 7.78
2024-04-11 01:23:04,10.066,142,0.2,0.2,0,0.07 | 0.12 | 0.21,0.26 | 0.33 | 0.42,4.73 | 6.11 | 7.78
2024-04-11 01:23:05,10.066,142,0.2,0.2,0,0.07 | 0.12 | 0.21,0.26 | 0.33 | 0.42,4.73 | 6.11 | 7.78
2024-04-11 01:23:05,11.777,142,0.2,0.2,0,0.09 | 0.16 | 0.25,0.26 | 0.39 | 0.58,3.45 | 5.13 | 7.78
2024-04-11 01:23:05,11.777,142,0.2,0.2,0,0.09 | 0.16 | 0.25,0.26 | 0.39 | 0.58,3.45 | 5.13 | 7.78
2024-04-11 01:23:06,10.718,142,0.2,0.2,0,0.09 | 0.16 | 0.25,0.26 | 0.39 | 0.58,3.45 | 5.13 | 7.78
2024-04-11 01:23:06,10.718,142,0.2,0.2,0,0.09 | 0.16 | 0.25,0.26 | 0.39 | 0.58,3.45 | 5.13 | 7.78
2024-04-11 01:23:07,9.644,142,0.2,0.2,0,0.09 | 0.16 | 0.25,0.26 | 0.39 | 0.58,3.45 | 5.13 | 7.78
2024-04-11 01:23:08,9.644,142,0.2,0.2,0,0.09 | 0.16 | 0.25,0.26 | 0.39 | 0.58,3.45 | 5.13 | 7.78
2024-04-11 01:23:08,8.584,142,0.2,0.2,0,0.09 | 0.16 | 0.25,0.26 | 0.39 | 0.58,3.45 | 5.13 | 7.78
2024-04-11 01:23:09,8.584,142,0.2,0.2,0,0.09 | 0.16 | 0.25,0.26 | 0.39 | 0.58,3.45 | 5.13 | 7.78
2024-04-11 01:23:09,11.6,142,0.2,0.2,0,0.05 | 0.43 | 1.20,0.12 | 1.07 | 3.16,0.63 | 1.87 | 16.67
2024-04-11 01:23:09,11.6,142,0.2,0.2,0,0.05 | 0.43 | 1.20,0.12 | 1.07 | 3.16,0.63 | 1.87 | 16.67
2024-04-11 01:23:10,14.728,142,0.2,0.2,0,0.05 | 0.35 | 1.20,0.09 | 0.90 | 3.16,0.63 | 2.23 | 23.26
2024-04-11 01:23:10,14.728,142,0.2,0.2,0,0.05 | 0.35 | 1.20,0.09 | 0.90 | 3.16,0.63 | 2.23 | 23.26
2024-04-11 01:23:11,15.66,142,0.2,0.2,0,0.05 | 0.12 | 0.27,0.09 | 0.22 | 0.43,4.63 | 9.25 | 23.26
2024-04-11 01:23:12,15.66,142,0.2,0.2,0,0.05 | 0.12 | 0.27,0.09 | 0.22 | 0.43,4.63 | 9.25 | 23.26
2024-04-11 01:23:12,16.602,142,0.2,0.2,0,0.07 | 0.12 | 0.27,0.09 | 0.45 | 1.06,1.88 | 4.42 | 23.26
2024-04-11 01:23:13,16.602,647,0.4,0.2,0,0.07 | 0.12 | 0.27,0.09 | 0.45 | 1.06,1.88 | 4.42 | 23.26
2024-04-11 01:23:13,17.8,647,0.4,0.2,0,0.07 | 0.16 | 0.27,0.23 | 0.63 | 1.06,1.88 | 3.17 | 8.81
2024-04-11 01:23:14,17.8,647,0.4,0.2,0,0.07 | 0.16 | 0.27,0.23 | 0.63 | 1.06,1.88 | 3.17 | 8.81
2024-04-11 01:23:14,16.743,647,0.4,0.2,0,0.07 | 0.16 | 0.27,0.23 | 0.63 | 1.06,1.88 | 3.17 | 8.81
2024-04-11 01:23:15,16.743,647,0.4,0.2,0,0.07 | 0.16 | 0.27,0.23 | 0.63 | 1.06,1.88 | 3.17 | 8.81
