Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-11 02:34:59,4,142,0.2,0.2,0,0.10 | 0.34 | 0.57,0.24 | 0.47 | 0.70,2.87 | 4.26 | 8.26
2024-04-11 02:34:59,4,142,0.2,0.2,0,0.10 | 0.34 | 0.57,0.24 | 0.47 | 0.70,2.87 | 4.26 | 8.26
2024-04-11 02:35:00,5.197,142,0.2,0.2,0,0.10 | 0.26 | 0.57,0.24 | 0.47 | 0.70,2.87 | 4.28 | 8.26
2024-04-11 02:35:00,5.197,647,0.4,0.2,0,0.10 | 0.26 | 0.57,0.24 | 0.47 | 0.70,2.87 | 4.28 | 8.26
2024-04-11 02:35:01,6.142,647,0.4,0.2,0,0.10 | 0.36 | 0.66,0.24 | 0.52 | 0.70,2.87 | 3.86 | 8.26
2024-04-11 02:35:01,6.142,647,0.4,0.2,0,0.10 | 0.36 | 0.66,0.24 | 0.52 | 0.70,2.87 | 3.86 | 8.26
2024-04-11 02:35:02,5.347,647,0.4,0.2,0,0.10 | 0.36 | 0.66,0.24 | 0.52 | 0.70,2.87 | 3.86 | 8.26
2024-04-11 02:35:02,5.347,647,0.4,0.2,0,0.10 | 0.36 | 0.66,0.24 | 0.52 | 0.70,2.87 | 3.86 | 8.26
2024-04-11 02:35:03,4.284,142,0.2,0.2,0,0.10 | 0.36 | 0.66,0.24 | 0.52 | 0.70,2.87 | 3.86 | 8.26
2024-04-11 02:35:03,4.284,142,0.2,0.2,0,0.10 | 0.36 | 0.66,0.24 | 0.52 | 0.70,2.87 | 3.86 | 8.26
2024-04-11 02:35:04,5.216,142,0.2,0.2,0,0.10 | 0.43 | 0.66,0.46 | 0.90 | 1.77,1.13 | 2.23 | 4.34
2024-04-11 02:35:04,5.216,142,0.2,0.2,0,0.10 | 0.43 | 0.66,0.46 | 0.90 | 1.77,1.13 | 2.23 | 4.34
2024-04-11 02:35:05,6.156,647,0.4,0.2,0,0.10 | 0.35 | 0.66,0.46 | 0.87 | 1.77,1.13 | 2.30 | 4.34
2024-04-11 02:35:05,6.156,647,0.4,0.2,0,0.10 | 0.35 | 0.66,0.46 | 0.87 | 1.77,1.13 | 2.30 | 4.34
2024-04-11 02:35:06,7.265,647,0.4,0.2,0,0.28 | 0.46 | 0.66,0.42 | 0.86 | 1.77,1.13 | 2.32 | 4.71
2024-04-11 02:35:06,7.265,647,0.4,0.2,0,0.28 | 0.46 | 0.66,0.42 | 0.86 | 1.77,1.13 | 2.32 | 4.71
2024-04-11 02:35:07,6.294,647,0.4,0.2,0,0.28 | 0.46 | 0.66,0.42 | 0.86 | 1.77,1.13 | 2.32 | 4.71
2024-04-11 02:35:07,6.294,647,0.4,0.4,0,0.28 | 0.46 | 0.66,0.42 | 0.86 | 1.77,1.13 | 2.32 | 4.71
2024-04-11 02:35:08,5.238,142,0.2,0.4,0,0.28 | 0.46 | 0.66,0.42 | 0.86 | 1.77,1.13 | 2.32 | 4.71
2024-04-11 02:35:08,5.238,1904,0.8,0.4,0,0.28 | 0.46 | 0.66,0.42 | 0.86 | 1.77,1.13 | 2.32 | 4.71
2024-04-11 02:35:09,8.183,1904,0.8,0.2,0,0.06 | 0.38 | 0.64,0.25 | 0.76 | 1.78,1.12 | 2.63 | 8.10
2024-04-11 02:35:09,8.183,1904,0.8,0.2,0,0.06 | 0.38 | 0.64,0.25 | 0.76 | 1.78,1.12 | 2.63 | 8.10
2024-04-11 02:35:10,7.382,1904,0.8,0.2,0,0.06 | 0.38 | 0.64,0.25 | 0.76 | 1.78,1.12 | 2.63 | 8.10
2024-04-11 02:35:10,7.382,1904,0.8,0.2,0,0.06 | 0.38 | 0.64,0.25 | 0.76 | 1.78,1.12 | 2.63 | 8.10
2024-04-11 02:35:11,6.193,1904,0.8,0.2,0,0.06 | 0.38 | 0.64,0.25 | 0.76 | 1.78,1.12 | 2.63 | 8.10
