Timestamp,CPU_Usage,Original_Data_Size,Total_Data_Size
1712926951575,2.50,4592,5472
1712926951658,2.42,4592,5472
1712926951757,2.55,4592,5472
1712926951858,2.28,4592,5472
1712926951979,2.16,4592,5472
1712926952081,3.00,4592,5472
1712926952180,3.14,4592,5472
1712926952303,3.06,4592,5472
1712926952379,3.13,4592,5472
1712926952480,2.69,4592,5472
1712926952581,2.41,4592,5472
1712926952681,2.41,4592,5472
1712926952782,2.40,4592,5472
1712926952882,2.26,4592,5472
1712926952982,2.39,4592,5472
1712926953082,1.69,4592,5472
1712926953182,1.56,4592,5472
1712926953303,1.56,5000,5960
1712926953404,1.56,5000,5960
1712926953523,1.68,5000,5960
1712926953605,2.13,5000,5960
1712926953704,2.26,5000,5960
1712926953805,2.13,5000,5960
1712926953906,2.14,5000,5960
1712926954023,1.82,5000,5960
1712926954105,1.71,5000,5960
1712926954206,2.27,5000,5960
1712926954324,2.13,5000,5960
1712926954405,2.10,5000,5960
1712926954544,1.96,5000,5960
1712926954626,1.81,5000,5960
1712926954726,1.54,5000,5960
1712926954826,1.66,5000,5960
1712926954926,1.53,5000,5960
1712926955044,1.78,5000,5960
1712926955147,1.90,5000,5960
1712926955227,1.52,5000,5960
1712926955328,2.75,5000,5960
1712926955426,3.19,5000,5960
1712926955526,3.42,5000,5960
1712926955626,3.17,5000,5960
1712926955726,3.71,5000,5960
1712926955827,3.57,5000,5960
1712926955926,4.07,5000,5960
1712926956044,3.95,5000,5960
1712926956126,3.68,5000,5960
1712926956227,3.58,5000,5960
1712926956327,2.62,5000,5960
1712926956426,1.95,5000,5960
1712926956527,1.96,5000,5960
1712926956627,1.96,5000,5960
1712926956749,1.41,5000,5960
1712926956828,1.41,5000,5960
1712926956929,0.99,5000,5960
1712926957029,1.27,5000,5960
1712926957129,1.41,5000,5960
1712926957228,1.68,5000,5960
1712926957328,1.68,5000,5960
1712926957428,1.40,5000,5960
1712926957528,1.54,5000,5960
1712926957628,1.81,5000,5960
1712926957748,1.95,5000,5960
1712926957829,2.09,5000,5960
1712926957928,2.23,5000,5960
1712926958029,1.97,5000,5960
1712926958129,2.11,5000,5960
1712926958228,1.99,7984,9504
1712926958352,2.13,7984,9504
1712926958428,2.27,7984,9504
1712926958548,2.41,7984,9504
1712926958647,2.10,7984,9504
1712926958730,2.00,7984,9504
1712926958867,1.69,7984,9504
1712926958930,1.44,7984,9504
1712926959030,1.58,7984,9504
1712926959130,1.72,7984,9504
1712926959248,1.71,7984,9504
1712926959330,1.71,7984,9504
1712926959430,2.13,7984,9504
1712926959530,2.12,7984,9504
1712926959648,1.99,7984,9504
1712926959748,2.26,7984,9504
1712926959868,2.39,7984,9504
1712926959968,2.26,7984,9504
1712926960087,3.03,16524,19644
1712926960191,3.03,16524,19644
1712926960268,3.11,16524,19644
1712926960367,2.73,16524,19644
1712926960469,2.74,16524,19644
1712926960569,3.31,36142,42942
1712926960669,3.45,36142,42942
1712926960788,3.18,39586,47026
1712926960869,3.33,39586,47026
1712926960969,3.19,39586,47026
1712926961088,2.32,45198,53678
1712926961215,2.27,45198,53678
1712926961293,2.46,45198,53678
1712926961392,2.15,45198,53678
1712926961537,2.67,71006,84286
1712926961623,2.39,71006,84286
1712926961706,2.27,71006,84286
1712926961805,2.67,71006,84286
1712926961907,2.64,71006,84286
1712926962027,2.71,78770,93490
1712926962108,2.61,78770,93490
1712926962215,3.14,96070,113990
1712926962316,2.99,96070,113990
1712926962416,2.59,96070,113990
1712926962535,2.16,96070,113990
1712926962624,2.39,96070,113990
1712926962724,3.60,112474,133434
1712926962823,4.20,123262,146222
1712926962923,4.11,123262,146222
1712926963028,3.82,123262,146222
1712926963128,4.25,123262,146222
1712926963228,3.68,123262,146222
1712926963371,3.89,123262,146222
1712926963452,3.84,123262,146222
1712926963528,4.41,123262,146222
1712926963628,4.17,123262,146222
1712926963729,2.79,123262,146222
1712926963828,2.07,123262,146222
1712926963927,1.94,123262,146222
1712926964030,1.95,123262,146222
1712926964129,1.53,123262,146222
1712926964229,1.69,123262,146222
1712926964329,1.82,123262,146222
1712926964431,1.68,123262,146222
1712926964533,1.12,123262,146222
1712926964647,1.24,123262,146222
1712926964732,1.26,123262,146222
1712926964832,1.26,123262,146222
1712926964931,1.68,123262,146222
1712926965048,1.96,123262,146222
1712926965131,2.09,123262,146222
1712926965232,1.95,123262,146222
1712926965348,1.96,123262,146222
1712926965433,1.82,123262,146222
1712926965532,1.82,123262,146222
1712926965648,1.97,123262,146222
1712926965731,1.97,123262,146222
1712926965831,1.83,123262,146222
1712926965947,1.66,123262,146222
1712926966031,1.56,123262,146222
1712926966131,1.55,123262,146222
1712926966231,1.41,123262,146222
1712926966332,2.27,140998,167238
1712926966433,2.70,140998,167238
1712926966533,2.98,140998,167238
1712926966634,3.12,140998,167238
1712926966732,3.40,140998,167238
1712926966871,3.63,150490,178490
1712926966967,3.51,150490,178490
1712926967048,3.72,150490,178490
1712926967149,3.84,150490,178490
1712926967268,3.69,150490,178490
1712926967349,3.53,153514,182074
1712926967449,2.97,153514,182074
1712926967548,4.11,228606,271086
1712926967649,3.85,228606,271086
1712926967749,3.85,228606,271086
1712926967849,3.68,228606,271086
1712926967968,3.56,228606,271086
1712926968068,3.85,257470,305310
1712926968177,4.68,326014,386574
1712926968291,4.62,326014,386574
1712926968369,4.21,326014,386574
1712926968501,3.90,326014,386574
1712926968603,3.45,326014,386574
1712926968719,3.91,326014,386574
1712926968802,3.71,335086,397326
1712926968902,3.85,341554,404994
1712926969038,4.40,387118,459038
1712926969104,4.26,394494,467774
1712926969207,3.53,397518,471358
1712926969305,4.53,397518,471358
1712926969405,4.65,397518,471358
1712926969525,4.62,398818,472898
1712926969624,5.08,432282,512522
1712926969721,4.56,432282,512522
1712926969820,4.68,432282,512522
1712926969939,4.77,432282,512522
1712926970039,4.07,432282,512522
1712926970139,3.90,432282,512522
1712926970240,3.62,432282,512522
1712926970339,2.94,432282,512522
1712926970439,2.94,432282,512522
1712926970547,2.92,432698,513018
1712926970648,2.65,438802,520242
1712926970748,2.75,438802,520242
1712926970867,2.94,473230,560990
1712926970950,2.67,473230,560990
1712926971068,2.82,473230,560990
1712926971149,2.83,473230,560990
1712926971250,3.38,512334,607294
1712926971351,3.27,532322,630962
1712926971449,3.04,532322,630962
1712926971550,2.62,532322,630962
1712926971651,2.75,534922,634042
1712926971750,2.90,534922,634042
1712926971851,2.88,534922,634042
1712926971950,2.61,541874,642274
1712926972049,2.46,541874,642274
1712926972171,2.13,541874,642274
1712926972267,1.60,541874,642274
1712926972350,1.44,541874,642274
1712926972451,1.43,541874,642274
1712926972571,1.82,541874,642274
1712926972651,1.99,541874,642274
1712926972753,2.57,575354,681914
1712926972852,2.59,587914,696794
1712926972968,3.41,674554,799354
1712926973052,4.17,701942,831782
1712926973171,5.01,701942,831782
1712926973293,5.20,750702,889502
1712926973391,6.30,833886,987966
1712926973472,6.86,833886,987966
1712926973573,6.92,846518,1002918
1712926973681,7.74,953738,1129818
1712926973771,7.13,953738,1129818
1712926973872,6.79,953738,1129818
1712926973984,6.76,1036466,1227746
1712926974105,6.80,1099974,1302934
1712926974184,6.54,1128246,1336406
1712926974294,6.37,1128246,1336406
1712926974393,5.21,1128246,1336406
1712926974495,5.21,1170910,1386910
1712926974611,5.76,1253654,1484854
1712926974695,4.86,1253654,1484854
1712926974815,5.47,1312414,1554414
1712926974897,6.13,1348106,1596666
1712926974995,5.42,1348106,1596666
1712926975127,5.29,1398666,1656506
1712926975205,5.14,1398666,1656506
1712926975307,5.25,1398666,1656506
1712926975406,5.14,1398666,1656506
1712926975535,4.28,1423506,1685906
1712926975637,4.14,1432662,1696742
1712926975759,3.91,1432662,1696742
1712926975862,3.55,1497630,1773630
1712926975970,3.65,1562878,1850878
1712926976039,3.56,1585934,1878174
1712926976152,4.49,1643850,1946730
1712926976241,4.96,1673426,1981746
1712926976339,4.72,1691266,2002866
1712926976438,4.73,1691266,2002866
1712926976538,4.58,1691266,2002866
1712926976637,4.02,1691266,2002866
1712926976760,4.29,1691266,2002866
1712926976863,3.80,1691266,2002866
1712926976971,3.38,1691266,2002866
1712926977071,2.78,1691266,2002866
1712926977177,1.95,1691266,2002866
1712926977281,3.32,1805574,2138134
1712926977399,3.52,1817782,2152582
1712926977499,4.04,1817782,2152582
1712926977578,4.08,1817782,2152582
1712926977677,4.21,1817782,2152582
1712926977778,4.99,1841302,2180422
1712926977877,5.58,1892718,2241358
1712926977976,5.46,1892718,2241358
1712926978077,5.53,1892718,2241358
1712926978187,7.00,2026202,2399402
1712926978281,6.92,2212638,2620078
1712926978422,7.33,2305502,2729982
1712926978519,7.91,2334714,2764554
1712926978602,7.79,2334714,2764554
1712926978702,7.86,2334714,2764554
1712926978819,7.66,2361674,2796474
1712926978902,7.70,2439582,2888702
1712926979002,7.96,2447366,2897926
1712926979101,7.99,2447366,2897926
1712926979220,6.38,2447366,2897926
1712926979302,4.96,2447366,2897926
1712926979423,3.79,2447366,2897926
1712926979523,3.19,2447366,2897926
1712926979624,3.31,2447366,2897926
1712926979724,3.05,2465678,2919598
1712926979833,2.74,2465678,2919598
1712926979932,2.16,2465678,2919598
1712926980033,3.02,2519294,2983054
1712926980151,2.96,2525810,2990770
1712926980251,3.72,2582418,3057778
1712926980334,3.71,2582418,3057778
1712926980435,4.42,2617682,3099522
1712926980536,4.42,2617682,3099522
1712926980636,4.44,2617682,3099522
1712926980736,4.69,2617682,3099522
1712926980835,4.40,2617682,3099522
1712926980935,4.12,2617682,3099522
1712926981059,3.07,2621158,3103638
1712926981153,4.15,2658210,3147490
1712926981253,3.43,2670418,3161938
1712926981358,3.43,2670418,3161938
1712926981458,4.96,2703842,3201522
1712926981559,4.53,2703842,3201522
1712926981660,4.42,2721286,3222166
1712926981759,4.53,2721286,3222166
1712926981859,4.82,2721286,3222166
1712926981959,5.51,2773574,3284054
1712926982060,5.64,2777066,3288186
1712926982181,4.94,2827138,3347458
1712926982261,5.09,2827138,3347458
1712926982362,4.68,2827138,3347458
1712926982462,3.45,2888178,3419698
1712926982563,3.47,2888178,3419698
1712926982663,3.31,2888178,3419698
1712926982763,3.76,2912086,3448006
1712926982863,3.61,2912086,3448006
1712926982963,3.17,2912086,3448006
1712926983084,2.87,2912086,3448006
1712926983165,3.30,2953494,3497014
1712926983265,2.88,2953494,3497014
1712926983365,3.00,2953494,3497014
1712926983464,2.71,2984882,3534162
1712926983563,3.01,3008430,3562030
1712926983670,3.27,3041562,3601242
1712926983785,3.10,3084742,3652342
1712926983883,3.03,3096494,3666254
1712926983964,3.16,3096494,3666254
1712926984064,3.47,3099546,3669866
1712926984183,3.26,3099546,3669866
1712926984265,3.43,3099546,3669866
1712926984365,3.32,3099546,3669866
1712926984465,3.59,3123946,3698746
1712926984565,3.72,3139630,3717310
1712926984671,3.84,3155718,3736358
1712926984794,3.92,3180134,3765254
1712926984884,3.83,3186610,3772930
1712926985004,3.83,3186610,3772930
1712926985085,3.40,3186610,3772930
1712926985204,3.27,3187050,3773450
1712926985286,3.57,3198818,3787378
1712926985387,3.84,3237186,3832786
1712926985487,4.14,3266838,3867878
1712926985588,3.70,3266838,3867878
1712926985688,3.28,3266838,3867878
1712926985795,3.14,3266838,3867878
1712926985894,3.14,3266838,3867878
1712926986011,2.95,3266838,3867878
1712926986095,3.16,3299930,3907050
1712926986195,3.43,3299930,3907050
1712926986296,3.14,3299930,3907050
1712926986396,2.71,3299930,3907050
1712926986495,1.99,3299930,3907050
1712926986597,2.13,3299930,3907050
1712926986696,2.00,3299930,3907050
1712926986796,1.86,3299930,3907050
1712926986896,1.87,3299930,3907050
1712926987027,1.71,3299930,3907050
1712926987128,1.86,3299930,3907050
1712926987228,2.14,3299930,3907050
1712926987348,1.99,3299930,3907050
1712926987428,2.27,3299930,3907050
1712926987528,2.12,3299930,3907050
1712926987629,2.12,3299930,3907050
1712926987728,2.12,3299930,3907050
1712926987828,2.53,3299930,3907050
1712926987929,2.39,3299930,3907050
1712926988047,2.34,3299930,3907050
1712926988148,1.82,3299930,3907050
1712926988229,1.40,3299930,3907050
1712926988347,1.51,3299930,3907050
1712926988429,1.54,3299930,3907050
1712926988539,2.37,3330810,3943610
1712926988629,3.67,3372202,3992602
1712926988729,4.07,3372202,3992602
1712926988829,3.81,3372202,3992602
1712926988930,4.08,3372202,3992602
1712926989047,4.21,3383074,4005474
1712926989148,4.51,3383074,4005474
1712926989249,4.66,3408358,4035398
1712926989368,4.38,3427454,4058014
1712926989449,4.13,3427454,4058014
1712926989557,3.53,3427454,4058014
1712926989658,2.55,3427454,4058014
1712926989779,2.42,3448738,4083218
1712926989876,2.42,3448738,4083218
1712926989957,2.86,3461370,4098170
1712926990059,2.85,3461370,4098170
1712926990163,2.99,3474018,4113138
1712926990264,3.00,3483174,4123974
1712926990366,2.84,3483174,4123974
1712926990491,3.01,3486210,4127570
1712926990564,2.95,3489262,4131182
1712926990664,2.68,3489262,4131182
1712926990765,2.55,3489262,4131182
1712926990864,2.54,3489262,4131182
1712926991002,2.99,3544098,4196098
1712926991063,2.97,3558474,4213114
1712926991164,2.69,3558474,4213114
1712926991284,2.55,3558474,4213114
1712926991365,2.69,3558474,4213114
1712926991488,2.73,3594522,4255802
1712926991564,3.02,3594950,4256310
1712926991664,3.46,3626750,4293950
1712926991764,3.30,3626750,4293950
1712926991907,3.88,3682074,4359434
1712926992008,4.74,3865986,4577186
1712926992102,5.07,3940950,4665910
1712926992203,4.91,3946178,4672098
1712926992302,5.96,4012778,4750938
1712926992402,5.84,4012778,4750938
1712926992503,5.93,4012778,4750938
1712926992603,5.21,4012778,4750938
1712926992720,5.05,4012778,4750938
1712926992802,5.19,4012778,4750938
1712926992958,3.99,4012778,4750938
1712926993076,3.14,4012778,4750938
1712926993157,3.44,4054054,4799814
1712926993258,3.58,4092822,4845702
1712926993357,3.27,4092822,4845702
1712926993460,3.28,4122450,4880770
1712926993575,3.67,4180758,4949798
1712926993658,4.76,4296306,5086386
1712926993772,5.28,4352530,5152850
1712926993858,5.09,4371834,5175674
1712926993959,5.21,4420590,5233310
1712926994057,4.96,4420590,5233310
1712926994158,4.63,4420590,5233310
1712926994259,4.60,4420590,5233310
1712926994358,4.44,4420590,5233310
1712926994461,4.27,4420590,5233310
1712926994585,4.22,4468978,5290498
1712926994676,3.64,4468978,5290498
1712926994808,2.95,4468978,5290498
1712926994893,3.65,4523014,5354374
1712926994990,3.65,4523014,5354374
1712926995090,3.91,4523014,5354374
1712926995192,4.06,4526094,5358014
1712926995291,3.94,4526094,5358014
1712926995392,3.94,4526094,5358014
1712926995491,4.38,4550730,5387130
1712926995591,4.94,4614466,5462466
1712926995692,4.53,4614466,5462466
1712926995792,4.41,4614466,5462466
1712926995892,5.26,4747790,5620030
