Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-10 23:09:36,6.695,1904,0.8,0.8,0,0.03 | 0.03 | 0.04,0.02 | 0.29 | 0.59,3.38 | 6.80 | 100.00
2024-04-10 23:09:37,6.695,3886,1,0.2,0,0.03 | 0.03 | 0.04,0.02 | 0.29 | 0.59,3.38 | 6.80 | 100.00
2024-04-10 23:09:37,11.631,3886,1,0.2,0,0.03 | 0.03 | 0.03,0.24 | 0.48 | 0.60,3.35 | 4.12 | 8.23
2024-04-10 23:09:38,11.631,3886,1,0.2,0,0.03 | 0.03 | 0.03,0.24 | 0.48 | 0.60,3.35 | 4.12 | 8.23
2024-04-10 23:09:38,12.57,3886,1,0.2,0,0.03 | 0.03 | 0.03,0.24 | 0.54 | 0.80,2.51 | 3.73 | 8.23
2024-04-10 23:09:39,12.57,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.24 | 0.54 | 0.80,2.51 | 3.73 | 8.23
2024-04-10 23:09:39,13.648,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.24 | 0.57 | 0.80,2.51 | 3.50 | 8.23
2024-04-10 23:09:40,13.648,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.24 | 0.57 | 0.80,2.51 | 3.50 | 8.23
2024-04-10 23:09:40,16.573,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.53 | 0.70 | 0.80,2.51 | 2.88 | 3.77
2024-04-10 23:09:41,16.573,3886,1,1,0,0.03 | 0.03 | 0.03,0.53 | 0.70 | 0.80,2.51 | 2.88 | 3.77
2024-04-10 23:09:41,17.648,3886,1,1,0,0.03 | 0.03 | 0.03,0.53 | 0.63 | 0.74,2.71 | 3.18 | 3.77
2024-04-10 23:09:42,17.648,3886,1,1,0,0.03 | 0.03 | 0.03,0.53 | 0.63 | 0.74,2.71 | 3.18 | 3.77
2024-04-10 23:09:42,18.586,3886,1,1,0,0.03 | 0.03 | 0.03,0.53 | 0.69 | 0.97,2.06 | 2.91 | 3.77
2024-04-10 23:09:43,18.586,3886,1,1,0,0.03 | 0.03 | 0.03,0.53 | 0.69 | 0.97,2.06 | 2.91 | 3.77
2024-04-10 23:09:43,19.682,3886,1,1,0,0.03 | 0.03 | 0.03,0.53 | 0.68 | 0.97,2.06 | 2.93 | 3.77
2024-04-10 23:09:44,19.682,3886,1,1,0,0.03 | 0.03 | 0.03,0.53 | 0.68 | 0.97,2.06 | 2.93 | 3.77
2024-04-10 23:09:44,20.603,3886,1,1,0,0.03 | 0.03 | 0.03,0.53 | 0.95 | 1.60,1.25 | 2.11 | 3.75
2024-04-10 23:09:45,20.603,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.53 | 0.95 | 1.60,1.25 | 2.11 | 3.75
2024-04-10 23:09:45,19.661,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.53 | 0.95 | 1.60,1.25 | 2.11 | 3.75
2024-04-10 23:09:46,19.661,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.53 | 0.95 | 1.60,1.25 | 2.11 | 3.75
2024-04-10 23:09:46,20.6,3886,1,0.8,0,0.03 | 0.03 | 0.03,0.69 | 1.26 | 1.79,1.12 | 1.58 | 2.89
