Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-10 22:58:14,4.682,1904,1,1,0,0.03 | 0.03 | 0.04,0.10 | 0.38 | 0.62,3.23 | 5.33 | 19.80
2024-04-10 22:58:15,4.682,3886,1,1,0,0.03 | 0.03 | 0.04,0.10 | 0.38 | 0.62,3.23 | 5.33 | 19.80
2024-04-10 22:58:15,7.62,3886,1,0.4,0,0.03 | 0.03 | 0.04,0.10 | 0.53 | 0.71,2.83 | 3.77 | 19.80
2024-04-10 22:58:16,7.62,3886,1,0.4,0,0.03 | 0.03 | 0.04,0.10 | 0.53 | 0.71,2.83 | 3.77 | 19.80
2024-04-10 22:58:16,10.548,3886,1,0.4,0,0.03 | 0.03 | 0.04,0.47 | 0.60 | 0.71,2.83 | 3.33 | 4.26
2024-04-10 22:58:17,10.548,3886,1,0.4,0,0.03 | 0.03 | 0.04,0.47 | 0.60 | 0.71,2.83 | 3.33 | 4.26
2024-04-10 22:58:17,11.606,3886,1,1,0,0.03 | 0.03 | 0.04,0.47 | 0.62 | 0.78,2.57 | 3.24 | 4.26
2024-04-10 22:58:18,11.606,3886,1,1,0,0.03 | 0.03 | 0.04,0.47 | 0.62 | 0.78,2.57 | 3.24 | 4.26
2024-04-10 22:58:18,12.697,3886,1,1,0,0.03 | 0.03 | 0.04,0.47 | 0.60 | 0.78,2.57 | 3.32 | 4.26
2024-04-10 22:58:19,12.697,3886,1,1,0,0.03 | 0.03 | 0.04,0.47 | 0.60 | 0.78,2.57 | 3.32 | 4.26
2024-04-10 22:58:19,15.629,3886,1,1,0,0.03 | 0.03 | 0.04,0.57 | 0.66 | 0.78,2.57 | 3.03 | 3.49
2024-04-10 22:58:20,15.629,3886,1,1,0,0.03 | 0.03 | 0.04,0.57 | 0.66 | 0.78,2.57 | 3.03 | 3.49
2024-04-10 22:58:20,18.568,3886,1,1,0,0.03 | 0.03 | 0.03,0.47 | 0.61 | 0.73,2.75 | 3.30 | 4.24
2024-04-10 22:58:21,18.568,3886,1,1,0,0.03 | 0.03 | 0.03,0.47 | 0.61 | 0.73,2.75 | 3.30 | 4.24
2024-04-10 22:58:21,19.589,3886,1,1,0,0.03 | 0.03 | 0.03,0.47 | 0.66 | 0.86,2.32 | 3.04 | 4.24
2024-04-10 22:58:22,19.589,3886,1,1,0,0.03 | 0.03 | 0.03,0.47 | 0.66 | 0.86,2.32 | 3.04 | 4.24
2024-04-10 22:58:22,18.716,3886,1,1,0,0.03 | 0.03 | 0.03,0.47 | 0.66 | 0.86,2.32 | 3.04 | 4.24
2024-04-10 22:58:23,18.716,3886,1,1,0,0.03 | 0.03 | 0.03,0.47 | 0.66 | 0.86,2.32 | 3.04 | 4.24
2024-04-10 22:58:23,19.65,3886,1,1,0,0.03 | 0.03 | 0.03,0.47 | 0.90 | 1.53,1.30 | 2.23 | 4.24
2024-04-10 22:58:24,19.65,3886,1,1,0,0.03 | 0.03 | 0.03,0.47 | 0.90 | 1.53,1.30 | 2.23 | 4.24
2024-04-10 22:58:24,18.589,3886,1,1,0,0.03 | 0.03 | 0.03,0.47 | 0.90 | 1.53,1.30 | 2.23 | 4.24
2024-04-10 22:58:25,18.589,3886,1,1,0,0.03 | 0.03 | 0.03,0.47 | 0.90 | 1.53,1.30 | 2.23 | 4.24
2024-04-10 22:58:25,19.618,3886,1,1,0,0.03 | 0.03 | 0.03,0.73 | 1.19 | 1.64,1.22 | 1.68 | 2.75
2024-04-10 22:58:26,19.618,3886,1,1,0,0.03 | 0.03 | 0.03,0.73 | 1.19 | 1.64,1.22 | 1.68 | 2.75
2024-04-10 22:58:26,20.73,3886,1,1,0,0.03 | 0.03 | 0.04,0.86 | 1.35 | 1.64,1.22 | 1.48 | 2.32
2024-04-10 22:58:27,20.73,3886,1,1,0,0.03 | 0.03 | 0.04,0.86 | 1.35 | 1.64,1.22 | 1.48 | 2.32
2024-04-10 22:58:27,21.668,3886,1,1,0,0.03 | 0.03 | 0.04,1.12 | 1.42 | 1.64,1.22 | 1.41 | 1.78
2024-04-10 22:58:28,21.668,3886,1,1,0,0.03 | 0.03 | 0.04,1.12 | 1.42 | 1.64,1.22 | 1.41 | 1.78
2024-04-10 22:58:28,20.601,3886,1,1,0,0.03 | 0.03 | 0.04,1.12 | 1.42 | 1.64,1.22 | 1.41 | 1.78
2024-04-10 22:58:29,20.601,3886,1,1,0,0.03 | 0.03 | 0.04,1.12 | 1.42 | 1.64,1.22 | 1.41 | 1.78
2024-04-10 22:58:29,21.542,3886,1,1,0,0.03 | 0.03 | 0.04,1.12 | 1.40 | 1.64,1.22 | 1.43 | 1.78
2024-04-10 22:58:30,21.542,3886,1,1,0,0.03 | 0.03 | 0.04,1.12 | 1.40 | 1.64,1.22 | 1.43 | 1.78
2024-04-10 22:58:30,22.745,3886,1,1,0,0.03 | 0.03 | 0.04,1.12 | 1.38 | 1.56,1.28 | 1.45 | 1.78
2024-04-10 22:58:31,22.745,3886,1,1,0,0.03 | 0.03 | 0.04,1.12 | 1.38 | 1.56,1.28 | 1.45 | 1.78
2024-04-10 22:58:31,21.68,3886,1,1,0,0.03 | 0.03 | 0.04,1.12 | 1.38 | 1.56,1.28 | 1.45 | 1.78
2024-04-10 22:58:32,21.68,3886,1,1,0,0.03 | 0.03 | 0.04,1.12 | 1.38 | 1.56,1.28 | 1.45 | 1.78
2024-04-10 22:58:32,22.615,3886,1,1,0,0.03 | 0.03 | 0.04,1.12 | 1.40 | 1.56,1.28 | 1.43 | 1.78
2024-04-10 22:58:33,22.615,3886,1,1,0,0.03 | 0.03 | 0.04,1.12 | 1.40 | 1.56,1.28 | 1.43 | 1.78
2024-04-10 22:58:33,23.553,3886,1,1,0,0.03 | 0.03 | 0.04,1.11 | 1.40 | 1.56,1.28 | 1.43 | 1.80
2024-04-10 22:58:34,23.553,3886,1,1,0,0.03 | 0.03 | 0.04,1.11 | 1.40 | 1.56,1.28 | 1.43 | 1.80
2024-04-10 22:58:34,24.575,3886,1,1,0,0.03 | 0.03 | 0.03,1.11 | 1.34 | 1.56,1.28 | 1.49 | 1.80
2024-04-10 22:58:35,24.575,3886,1,1,0,0.03 | 0.03 | 0.03,1.11 | 1.34 | 1.56,1.28 | 1.49 | 1.80
2024-04-10 22:58:35,25.63,3886,1,1,0,0.03 | 0.03 | 0.03,1.11 | 1.27 | 1.43,1.39 | 1.58 | 1.80
2024-04-10 22:58:36,25.63,3886,1,1,0,0.03 | 0.03 | 0.03,1.11 | 1.27 | 1.43,1.39 | 1.58 | 1.80
2024-04-10 22:58:36,26.594,3886,1,1,0,0.03 | 0.03 | 0.03,1.00 | 1.16 | 1.27,1.57 | 1.73 | 2.00
2024-04-10 22:58:37,26.594,3886,1,1,0,0.03 | 0.03 | 0.03,1.00 | 1.16 | 1.27,1.57 | 1.73 | 2.00
2024-04-10 22:58:37,29.551,3886,1,1,0,0.03 | 0.03 | 0.03,0.49 | 0.81 | 1.27,1.57 | 2.46 | 4.09
2024-04-10 22:58:38,29.551,3886,1,1,0,0.03 | 0.03 | 0.03,0.49 | 0.81 | 1.27,1.57 | 2.46 | 4.09
2024-04-10 22:58:38,30.607,3886,1,1,0,0.03 | 0.03 | 0.03,0.49 | 0.66 | 1.00,2.00 | 3.03 | 4.09
2024-04-10 22:58:39,30.607,3886,1,1,0,0.03 | 0.03 | 0.03,0.49 | 0.66 | 1.00,2.00 | 3.03 | 4.09
2024-04-10 22:58:39,29.713,3886,1,1,0,0.03 | 0.03 | 0.03,0.49 | 0.66 | 1.00,2.00 | 3.03 | 4.09
2024-04-10 22:58:40,29.713,3886,1,1,0,0.03 | 0.03 | 0.03,0.49 | 0.66 | 1.00,2.00 | 3.03 | 4.09
2024-04-10 22:58:40,30.612,3886,1,1,0,0.03 | 0.03 | 0.03,0.49 | 0.71 | 1.19,1.68 | 2.83 | 4.09
2024-04-10 22:58:41,30.612,3886,1,1,0,0.03 | 0.03 | 0.03,0.49 | 0.71 | 1.19,1.68 | 2.83 | 4.09
