Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-10 23:16:25,3.538,1904,1,0.4,0,0.03 | 0.03 | 0.04,0.10 | 0.13 | 0.16,12.50 | 15.63 | 20.83
2024-04-10 23:16:25,4.636,1904,1,0.4,0,0.03 | 0.03 | 0.04,0.10 | 0.40 | 0.94,2.12 | 5.01 | 20.83
2024-04-10 23:16:26,4.636,3886,1,0.2,0,0.03 | 0.03 | 0.04,0.10 | 0.40 | 0.94,2.12 | 5.01 | 20.83
2024-04-10 23:16:26,5.572,1904,0.8,0.2,0,0.03 | 0.03 | 0.04,0.10 | 0.51 | 0.94,2.12 | 3.93 | 20.83
2024-04-10 23:16:27,5.572,3886,1,0.2,0,0.03 | 0.03 | 0.04,0.10 | 0.51 | 0.94,2.12 | 3.93 | 20.83
2024-04-10 23:16:27,8.509,3886,1,0.2,0,0.03 | 0.03 | 0.04,0.28 | 0.70 | 0.94,2.12 | 2.84 | 7.04
2024-04-10 23:16:28,8.509,3886,1,1,0,0.03 | 0.03 | 0.04,0.28 | 0.70 | 0.94,2.12 | 2.84 | 7.04
2024-04-10 23:16:28,9.585,3886,1,1,0,0.03 | 0.03 | 0.04,0.28 | 0.64 | 0.84,2.38 | 3.11 | 7.04
2024-04-10 23:16:29,9.585,3886,1,1,0,0.03 | 0.03 | 0.04,0.28 | 0.64 | 0.84,2.38 | 3.11 | 7.04
2024-04-10 23:16:29,12.514,3886,1,1,0,0.03 | 0.03 | 0.04,0.28 | 0.67 | 0.86,2.33 | 3.00 | 7.04
2024-04-10 23:16:30,12.514,3886,1,1,0,0.03 | 0.03 | 0.04,0.28 | 0.67 | 0.86,2.33 | 3.00 | 7.04
2024-04-10 23:16:30,13.586,3886,1,1,0,0.03 | 0.03 | 0.04,0.69 | 0.80 | 0.86,2.33 | 2.49 | 2.88
2024-04-10 23:16:31,13.586,3886,1,1,0,0.03 | 0.03 | 0.04,0.69 | 0.80 | 0.86,2.33 | 2.49 | 2.88
2024-04-10 23:16:31,14.519,3886,1,1,0,0.03 | 0.03 | 0.04,0.78 | 0.82 | 0.86,2.33 | 2.43 | 2.58
2024-04-10 23:16:32,14.519,3886,1,1,0,0.03 | 0.03 | 0.04,0.78 | 0.82 | 0.86,2.33 | 2.43 | 2.58
2024-04-10 23:16:32,15.555,3886,1,1,0,0.03 | 0.03 | 0.03,0.63 | 0.77 | 0.86,2.33 | 2.59 | 3.15
2024-04-10 23:16:33,15.555,3886,1,1,0,0.03 | 0.03 | 0.03,0.63 | 0.77 | 0.86,2.33 | 2.59 | 3.15
2024-04-10 23:16:33,18.493,3886,1,1,0,0.03 | 0.03 | 0.04,0.63 | 0.77 | 0.84,2.38 | 2.59 | 3.15
2024-04-10 23:16:34,18.493,3886,1,0.8,0,0.03 | 0.03 | 0.04,0.63 | 0.77 | 0.84,2.38 | 2.59 | 3.15
2024-04-10 23:16:34,17.607,3886,1,0.8,0,0.03 | 0.03 | 0.04,0.63 | 0.77 | 0.84,2.38 | 2.59 | 3.15
2024-04-10 23:16:35,17.607,3886,1,0.8,0,0.03 | 0.03 | 0.04,0.63 | 0.77 | 0.84,2.38 | 2.59 | 3.15
2024-04-10 23:16:35,16.54,3886,1,0.8,0,0.03 | 0.03 | 0.04,0.63 | 0.77 | 0.84,2.38 | 2.59 | 3.15
2024-04-10 23:16:36,16.54,3886,1,0.8,0,0.03 | 0.03 | 0.04,0.63 | 0.77 | 0.84,2.38 | 2.59 | 3.15
2024-04-10 23:16:36,17.743,3886,1,1,0,0.03 | 0.03 | 0.04,0.63 | 1.11 | 2.13,0.94 | 1.80 | 3.15
2024-04-10 23:16:37,17.743,3886,1,1,0,0.03 | 0.03 | 0.04,0.63 | 1.11 | 2.13,0.94 | 1.80 | 3.15
2024-04-10 23:16:37,18.617,3886,1,1,0,0.03 | 0.03 | 0.04,0.84 | 1.37 | 2.13,0.94 | 1.46 | 2.38
2024-04-10 23:16:38,18.617,3886,1,1,0,0.03 | 0.03 | 0.04,0.84 | 1.37 | 2.13,0.94 | 1.46 | 2.38
2024-04-10 23:16:38,17.624,3886,1,1,0,0.03 | 0.03 | 0.04,0.84 | 1.37 | 2.13,0.94 | 1.46 | 2.38
2024-04-10 23:16:39,17.624,3886,1,1,0,0.03 | 0.03 | 0.04,0.84 | 1.37 | 2.13,0.94 | 1.46 | 2.38
2024-04-10 23:16:39,18.556,3886,1,1,0,0.03 | 0.03 | 0.04,0.84 | 1.61 | 2.13,0.94 | 1.24 | 2.38
2024-04-10 23:16:40,18.556,3886,1,1,0,0.03 | 0.03 | 0.04,0.84 | 1.61 | 2.13,0.94 | 1.24 | 2.38
2024-04-10 23:16:40,17.495,3886,1,1,0,0.03 | 0.03 | 0.04,0.84 | 1.61 | 2.13,0.94 | 1.24 | 2.38
2024-04-10 23:16:41,17.495,3886,1,1,0,0.03 | 0.03 | 0.04,0.84 | 1.61 | 2.13,0.94 | 1.24 | 2.38
2024-04-10 23:16:41,18.695,3886,1,1,0,0.03 | 0.03 | 0.03,1.31 | 1.73 | 2.13,0.94 | 1.16 | 1.52
