Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-10 22:59:55,6.684,1904,1,0.8,0,0.03 | 0.03 | 0.05,0.12 | 0.41 | 0.76,2.62 | 4.87 | 16.81
2024-04-10 22:59:55,6.684,1904,1,0.8,0,0.03 | 0.03 | 0.05,0.12 | 0.41 | 0.76,2.62 | 4.87 | 16.81
2024-04-10 22:59:56,7.633,3886,1,0.2,0,0.03 | 0.03 | 0.03,0.12 | 0.54 | 0.76,2.62 | 3.68 | 16.81
2024-04-10 22:59:56,7.633,3886,1,0.2,0,0.03 | 0.03 | 0.03,0.12 | 0.54 | 0.76,2.62 | 3.68 | 16.81
2024-04-10 22:59:57,10.573,3886,1,0.2,0,0.03 | 0.03 | 0.03,0.44 | 0.60 | 0.72,2.78 | 3.33 | 4.58
2024-04-10 22:59:57,10.573,3886,1,0.2,0,0.03 | 0.03 | 0.03,0.44 | 0.60 | 0.72,2.78 | 3.33 | 4.58
2024-04-10 22:59:58,11.633,3886,1,1,0,0.03 | 0.03 | 0.03,0.44 | 0.65 | 0.77,2.60 | 3.07 | 4.58
2024-04-10 22:59:58,11.633,3886,1,1,0,0.03 | 0.03 | 0.03,0.44 | 0.65 | 0.77,2.60 | 3.07 | 4.58
2024-04-10 22:59:59,14.71,3886,1,1,0,0.03 | 0.03 | 0.03,0.53 | 0.66 | 0.77,2.60 | 3.04 | 3.76
2024-04-10 22:59:59,14.71,3886,1,1,0,0.03 | 0.03 | 0.03,0.53 | 0.66 | 0.77,2.60 | 3.04 | 3.76
2024-04-10 23:00:00,17.642,3886,1,1,0,0.03 | 0.03 | 0.03,0.47 | 0.54 | 0.66,3.05 | 3.68 | 4.24
2024-04-10 23:00:00,17.642,3886,1,1,0,0.03 | 0.03 | 0.03,0.47 | 0.54 | 0.66,3.05 | 3.68 | 4.24
2024-04-10 23:00:01,18.594,3886,1,1,0,0.03 | 0.03 | 0.03,0.47 | 0.54 | 0.65,3.06 | 3.69 | 4.24
2024-04-10 23:00:01,18.594,3886,1,1,0,0.03 | 0.03 | 0.03,0.47 | 0.54 | 0.65,3.06 | 3.69 | 4.24
2024-04-10 23:00:02,19.656,3886,1,1,0,0.03 | 0.03 | 0.03,0.47 | 0.59 | 0.74,2.71 | 3.37 | 4.24
2024-04-10 23:00:02,19.656,3886,1,1,0,0.03 | 0.03 | 0.03,0.47 | 0.59 | 0.74,2.71 | 3.37 | 4.24
2024-04-10 23:00:03,20.572,3886,1,1,0,0.03 | 0.03 | 0.03,0.47 | 0.80 | 1.34,1.49 | 2.49 | 4.24
2024-04-10 23:00:03,20.572,3886,1,1,0,0.03 | 0.03 | 0.03,0.47 | 0.80 | 1.34,1.49 | 2.49 | 4.24
