Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-10 22:55:29,29.64,3886,1,1,0,0.03 | 0.03 | 0.03,0.67 | 0.89 | 1.02,1.95 | 2.24 | 2.98
2024-04-10 22:55:30,29.64,3886,1,1,0,0.03 | 0.03 | 0.03,0.67 | 0.89 | 1.02,1.95 | 2.24 | 2.98
2024-04-10 22:55:30,30.575,3886,1,1,0,0.03 | 0.03 | 0.03,0.67 | 0.82 | 1.02,1.95 | 2.44 | 2.98
2024-04-10 22:55:31,30.575,3886,1,1,0,0.03 | 0.03 | 0.03,0.67 | 0.82 | 1.02,1.95 | 2.44 | 2.98
2024-04-10 22:55:31,29.781,3886,1,1,0,0.03 | 0.03 | 0.03,0.67 | 0.82 | 1.02,1.95 | 2.44 | 2.98
2024-04-10 22:55:32,29.781,3886,1,1,0,0.03 | 0.03 | 0.03,0.67 | 0.82 | 1.02,1.95 | 2.44 | 2.98
2024-04-10 22:55:32,30.723,3886,1,1,0,0.03 | 0.03 | 0.03,0.72 | 0.84 | 1.02,1.95 | 2.38 | 2.78
2024-04-10 22:55:33,30.723,3886,1,1,0,0.03 | 0.03 | 0.03,0.72 | 0.84 | 1.02,1.95 | 2.38 | 2.78
2024-04-10 22:55:33,29.654,3886,1,1,0,0.03 | 0.03 | 0.03,0.72 | 0.84 | 1.02,1.95 | 2.38 | 2.78
2024-04-10 22:55:34,29.654,3886,1,1,0,0.03 | 0.03 | 0.03,0.72 | 0.84 | 1.02,1.95 | 2.38 | 2.78
2024-04-10 22:55:34,30.596,3886,1,1,0,0.03 | 0.03 | 0.03,0.65 | 0.79 | 1.02,1.95 | 2.54 | 3.08
2024-04-10 22:55:35,30.596,3886,1,1,0,0.03 | 0.03 | 0.03,0.65 | 0.79 | 1.02,1.95 | 2.54 | 3.08
2024-04-10 22:55:35,29.799,3886,1,1,0,0.03 | 0.03 | 0.03,0.65 | 0.79 | 1.02,1.95 | 2.54 | 3.08
2024-04-10 22:55:36,29.799,3886,1,1,0,0.03 | 0.03 | 0.03,0.65 | 0.79 | 1.02,1.95 | 2.54 | 3.08
2024-04-10 22:55:36,30.732,3886,1,1,0,0.03 | 0.03 | 0.03,0.65 | 0.70 | 0.75,2.66 | 2.86 | 3.08
2024-04-10 22:55:37,30.732,3886,1,1,0,0.03 | 0.03 | 0.03,0.65 | 0.70 | 0.75,2.66 | 2.86 | 3.08
2024-04-10 22:55:37,29.667,3886,1,1,0,0.03 | 0.03 | 0.03,0.65 | 0.70 | 0.75,2.66 | 2.86 | 3.08
