Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-09 15:58:19,0,0,NaN,NaN,0,,,
2024-04-09 15:58:20,0,0,NaN,NaN,0,,,
2024-04-09 15:58:20,0,0,NaN,NaN,0,,,
2024-04-09 15:58:21,0,3886,1,NaN,0,,,
2024-04-09 15:58:21,0,3886,1,NaN,0,,,
2024-04-09 15:58:22,0,3886,1,NaN,0,,,
2024-04-09 15:58:22,0,142,0.2,1,0,,,
2024-04-09 15:58:23,0,3886,1,1,0,,,
2024-04-09 15:58:23,3.238,3886,1,1,0,0.21 | 0.21 | 0.21,0.00 | 0.41 | 0.82,2.44 | 4.87 | Infinity
2024-04-09 15:58:24,3.238,3886,1,1,0,0.21 | 0.21 | 0.21,0.00 | 0.41 | 0.82,2.44 | 4.87 | Infinity
2024-04-09 15:58:24,10.16,3886,1,0.2,0,0.20 | 0.21 | 0.21,0.04 | 0.09 | 0.24,8.47 | 21.05 | 48.78
2024-04-09 15:58:25,10.16,3886,1,0.2,0,0.20 | 0.21 | 0.21,0.04 | 0.09 | 0.24,8.47 | 21.05 | 48.78
2024-04-09 15:58:25,17.128,3886,1,0.2,0,0.21 | 0.21 | 0.21,0.04 | 0.05 | 0.06,36.36 | 40.00 | 45.45
2024-04-09 15:58:26,17.128,3886,1,0.2,0,0.21 | 0.21 | 0.21,0.04 | 0.05 | 0.06,36.36 | 40.00 | 45.45
2024-04-09 15:58:26,24.107,3886,1,1,0,0.21 | 0.21 | 0.22,0.04 | 0.05 | 0.06,31.25 | 40.61 | 50.00
2024-04-09 15:58:27,24.107,3886,1,1,0,0.21 | 0.21 | 0.22,0.04 | 0.05 | 0.06,31.25 | 40.61 | 50.00
2024-04-09 15:58:27,27.269,1093,0.6,1,0,0.21 | 0.21 | 0.22,0.05 | 0.12 | 0.23,8.81 | 17.02 | 39.22
2024-04-09 15:58:28,27.269,1093,0.6,1,0,0.21 | 0.21 | 0.22,0.05 | 0.12 | 0.23,8.81 | 17.02 | 39.22
2024-04-09 15:58:28,30.206,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.03 | 0.13 | 0.23,8.81 | 15.75 | 71.43
2024-04-09 15:58:29,30.206,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.03 | 0.13 | 0.23,8.81 | 15.75 | 71.43
2024-04-09 15:58:29,29.144,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.03 | 0.13 | 0.23,8.81 | 15.75 | 71.43
2024-04-09 15:58:30,29.144,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.03 | 0.13 | 0.23,8.81 | 15.75 | 71.43
2024-04-09 15:58:30,30.347,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.03 | 0.23 | 0.62,3.22 | 8.87 | 71.43
2024-04-09 15:58:31,30.347,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.03 | 0.23 | 0.62,3.22 | 8.87 | 71.43
2024-04-09 15:58:31,29.284,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.03 | 0.23 | 0.62,3.22 | 8.87 | 71.43
2024-04-09 15:58:32,29.284,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.03 | 0.23 | 0.62,3.22 | 8.87 | 71.43
2024-04-09 15:58:32,30.222,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.03 | 0.30 | 0.62,3.22 | 6.71 | 71.43
2024-04-09 15:58:33,30.222,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.03 | 0.30 | 0.62,3.22 | 6.71 | 71.43
2024-04-09 15:58:33,29.159,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.03 | 0.30 | 0.62,3.22 | 6.71 | 71.43
2024-04-09 15:58:34,29.159,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.03 | 0.30 | 0.62,3.22 | 6.71 | 71.43
2024-04-09 15:58:34,30.363,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.03 | 0.42 | 0.62,3.22 | 4.78 | 71.43
2024-04-09 15:58:35,30.363,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.03 | 0.42 | 0.62,3.22 | 4.78 | 71.43
2024-04-09 15:58:35,31.112,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.41 | 0.51 | 0.62,3.22 | 3.90 | 4.94
2024-04-09 15:58:36,31.112,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.41 | 0.51 | 0.62,3.22 | 3.90 | 4.94
2024-04-09 15:58:36,30.238,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.41 | 0.51 | 0.62,3.22 | 3.90 | 4.94
2024-04-09 15:58:37,30.238,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.41 | 0.51 | 0.62,3.22 | 3.90 | 4.94
2024-04-09 15:58:37,29.174,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.41 | 0.51 | 0.62,3.22 | 3.90 | 4.94
2024-04-09 15:58:38,29.174,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.41 | 0.51 | 0.62,3.22 | 3.90 | 4.94
2024-04-09 15:58:38,30.113,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.41 | 0.46 | 0.61,3.30 | 4.33 | 4.94
2024-04-09 15:58:39,30.113,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.41 | 0.46 | 0.61,3.30 | 4.33 | 4.94
2024-04-09 15:58:39,29.315,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.41 | 0.46 | 0.61,3.30 | 4.33 | 4.94
2024-04-09 15:58:40,29.315,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.41 | 0.46 | 0.61,3.30 | 4.33 | 4.94
2024-04-09 15:58:40,30.252,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.41 | 0.51 | 0.61,3.30 | 3.93 | 4.94
2024-04-09 15:58:41,30.252,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.41 | 0.51 | 0.61,3.30 | 3.93 | 4.94
2024-04-09 15:58:41,29.19,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.41 | 0.51 | 0.61,3.30 | 3.93 | 4.94
2024-04-09 15:58:42,29.19,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.41 | 0.51 | 0.61,3.30 | 3.93 | 4.94
2024-04-09 15:58:42,30.128,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.40 | 0.46 | 0.61,3.30 | 4.37 | 4.99
2024-04-09 15:58:43,30.128,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.40 | 0.46 | 0.61,3.30 | 4.37 | 4.99
2024-04-09 15:58:43,31.112,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.21 | 0.41 | 0.61,3.30 | 4.90 | 9.66
2024-04-09 15:58:44,31.112,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.21 | 0.41 | 0.61,3.30 | 4.90 | 9.66
2024-04-09 15:58:44,30.268,1093,0.6,1,0,0.21 | 0.21 | 0.21,0.21 | 0.41 | 0.61,3.30 | 4.90 | 9.66
2024-04-09 15:58:45,30.268,1904,0.8,1,0,0.21 | 0.21 | 0.21,0.21 | 0.41 | 0.61,3.30 | 4.90 | 9.66
2024-04-09 15:58:45,29.206,1904,0.8,1,0,0.21 | 0.21 | 0.21,0.21 | 0.41 | 0.61,3.30 | 4.90 | 9.66
2024-04-09 15:58:46,29.206,1904,0.8,1,0,0.21 | 0.21 | 0.21,0.21 | 0.41 | 0.61,3.30 | 4.90 | 9.66
2024-04-09 15:58:46,30.144,1904,0.8,1,0,0.21 | 0.22 | 0.25,0.21 | 0.46 | 0.61,3.29 | 4.39 | 9.66
2024-04-09 15:58:47,30.144,1904,0.8,1,0,0.21 | 0.22 | 0.25,0.21 | 0.46 | 0.61,3.29 | 4.39 | 9.66
2024-04-09 15:58:47,29.346,1904,0.8,1,0,0.21 | 0.22 | 0.25,0.21 | 0.46 | 0.61,3.29 | 4.39 | 9.66
2024-04-09 15:58:48,29.346,1904,0.8,1,0,0.21 | 0.22 | 0.25,0.21 | 0.46 | 0.61,3.29 | 4.39 | 9.66
2024-04-09 15:58:48,30.285,1904,0.8,1,0,0.20 | 0.22 | 0.25,0.21 | 0.46 | 0.61,3.28 | 4.38 | 9.66
2024-04-09 15:58:49,30.285,1904,0.8,1,0,0.20 | 0.22 | 0.25,0.21 | 0.46 | 0.61,3.28 | 4.38 | 9.66
2024-04-09 15:58:49,29.221,1904,0.8,1,0,0.20 | 0.22 | 0.25,0.21 | 0.46 | 0.61,3.28 | 4.38 | 9.66
2024-04-09 15:58:50,29.221,1904,0.8,1,0,0.20 | 0.22 | 0.25,0.21 | 0.46 | 0.61,3.28 | 4.38 | 9.66
2024-04-09 15:58:50,30.159,1904,0.8,1,0,0.20 | 0.22 | 0.25,0.21 | 0.46 | 0.61,3.28 | 4.32 | 9.66
2024-04-09 15:58:51,30.159,3886,1,1,0,0.20 | 0.22 | 0.25,0.21 | 0.46 | 0.61,3.28 | 4.32 | 9.66
2024-04-09 15:58:51,29.206,3886,1,1,0,0.20 | 0.22 | 0.25,0.21 | 0.46 | 0.61,3.28 | 4.32 | 9.66
2024-04-09 15:58:52,29.206,3886,1,1,0,0.20 | 0.22 | 0.25,0.21 | 0.46 | 0.61,3.28 | 4.32 | 9.66
2024-04-09 15:58:52,30.128,3886,1,1,0,0.20 | 0.22 | 0.25,0.43 | 0.62 | 0.85,2.36 | 3.21 | 4.68
2024-04-09 15:58:53,30.128,3886,1,1,0,0.20 | 0.22 | 0.25,0.43 | 0.62 | 0.85,2.36 | 3.21 | 4.68
2024-04-09 15:58:53,29.238,3886,1,1,0,0.20 | 0.22 | 0.25,0.43 | 0.62 | 0.85,2.36 | 3.21 | 4.68
2024-04-09 15:58:54,29.238,3886,1,1,0,0.20 | 0.22 | 0.25,0.43 | 0.62 | 0.85,2.36 | 3.21 | 4.68
