id,time,direction,rx_bytes,rx_frames,rx_rate,rx_rate_frames,tx_bytes,tx_frames,tx_rate,tx_rate_frames,loss_frames,drop_frames,queue_bytes,queue_frames,modify_frames,reordered_frames,duplicated_frames,corruption_frames,background_rx_bytes,background_rx_frames,background_tx_bytes,background_tx_frames,background_tx_rate,background_drop_frames
44,1712876570000,right,32630751,21589,20283888,1667,32553590,21537,19790424,1626,0,10,0,0,0,0,0,0,0,0,0,0,0,0
45,1712876571000,right,34575572,22869,15558568,1280,34555468,22855,16015024,1318,0,13,0,0,0,0,0,0,0,0,0,0,0,0
46,1712876572000,right,36439762,24092,14913520,1223,36402850,24068,14779056,1213,0,24,0,0,0,0,0,0,0,0,0,0,0,0
47,1712876573000,right,37638310,24890,9588384,798,37275342,24654,6979936,586,0,24,0,0,0,0,0,0,0,0,0,0,0,0
48,1712876574000,right,38574747,25516,7491496,626,38363780,25377,8707504,723,0,24,0,0,0,0,0,0,0,0,0,0,0,0
49,1712876575000,right,39814733,26333,9919888,817,39776283,26308,11300024,931,0,25,0,0,0,0,0,0,0,0,0,0,0,0
50,1712876576000,right,39815831,26340,8784,7,39777381,26315,8784,7,0,25,0,0,0,0,0,0,0,0,0,0,0,0
51,1712876577000,right,39816143,26343,2496,3,39777693,26318,2496,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0
52,1712876578000,right,39816311,26345,1344,2,39777861,26320,1344,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0
53,1712876579000,right,39817610,26356,10392,11,39778697,26329,6688,9,0,25,0,0,0,0,0,0,0,0,0,0,0,0
54,1712876580000,right,39817874,26359,2112,3,39779424,26334,5816,5,0,25,0,0,0,0,0,0,0,0,0,0,0,0
55,1712876581000,right,39818102,26361,1824,2,39779568,26335,1152,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0
56,1712876582000,right,39818444,26365,2736,4,39779910,26339,2736,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0
57,1712876583000,right,39819487,26370,8344,5,39781037,26345,9016,6,0,25,0,0,0,0,0,0,0,0,0,0,0,0
58,1712876584000,right,39819571,26371,672,1,39781121,26346,672,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0
59,1712876585000,right,39821380,26379,14472,8,39781786,26352,5320,6,0,25,0,0,0,0,0,0,0,0,0,0,0,0
60,1712876586000,right,39944454,26475,984592,96,39904769,26448,983864,96,0,25,0,0,0,0,0,0,0,0,0,0,0,0
61,1712876587000,right,40500643,26849,4449512,374,40458799,26821,4432240,373,0,25,0,0,0,0,0,0,0,0,0,0,0,0
62,1712876588000,right,41229430,27338,5830296,489,41190980,27313,5857448,492,0,25,0,0,0,0,0,0,0,0,0,0,0,0
63,1712876589000,right,43058750,28547,14634560,1209,42518651,28194,10621368,881,0,25,0,0,0,0,0,0,0,0,0,0,0,0
64,1712876590000,right,44340111,29396,10250888,849,44132885,29261,12913872,1067,0,25,0,0,0,0,0,0,0,0,0,0,0,0
65,1712876591000,right,45677625,30291,10700112,895,45638645,30262,12046080,1001,0,25,0,0,0,0,0,0,0,0,0,0,0,0
66,1712876592000,right,47410938,31439,13866504,1148,47173460,31284,12278520,1022,0,25,0,0,0,0,0,0,0,0,0,0,0,0
67,1712876593000,right,49830658,33029,19357760,1590,49622823,32893,19594904,1609,0,25,0,0,0,0,0,0,0,0,0,0,0,0
68,1712876594000,right,53004624,35107,25391728,2078,52590248,34837,23739400,1944,0,25,0,0,0,0,0,0,0,0,0,0,0,0
69,1712876595000,right,56134940,37162,25042528,2055,56096320,37136,28048576,2299,0,25,0,0,0,0,0,0,0,0,0,0,0,0
70,1712876596000,right,60105341,39761,31763208,2599,60066623,39734,31762424,2598,0,25,0,0,0,0,0,0,0,0,0,0,0,0
71,1712876597000,right,63675863,42098,28564176,2337,63637413,42073,28566320,2339,0,25,0,0,0,0,0,0,0,0,0,0,0,0
72,1712876598000,right,66723731,44101,24382944,2003,66685281,44076,24382944,2003,0,25,0,0,0,0,0,0,0,0,0,0,0,0
73,1712876599000,right,68661825,45385,15504752,1284,68623375,45360,15504752,1284,0,25,0,0,0,0,0,0,0,0,0,0,0,0
74,1712876600000,right,71078615,46975,19334320,1590,71039897,46948,19332176,1588,0,25,0,0,0,0,0,0,0,0,0,0,0,0
75,1712876601000,right,73459328,48540,19045704,1565,73420610,48513,19045704,1565,0,25,0,0,0,0,0,0,0,0,0,0,0,0
76,1712876602000,right,75248759,49725,14315448,1185,75209959,49698,14314792,1185,0,25,0,0,0,0,0,0,0,0,0,0,0,0
77,1712876603000,right,77538258,51232,18315992,1507,77499808,51207,18318792,1509,0,25,0,0,0,0,0,0,0,0,0,0,0,0
78,1712876604000,right,78894046,52128,10846304,896,78855596,52103,10846304,896,0,25,0,0,0,0,0,0,0,0,0,0,0,0
79,1712876605000,right,78894578,52133,4256,5,78856128,52108,4256,5,0,25,0,0,0,0,0,0,0,0,0,0,0,0
80,1712876606000,right,79565359,52580,5366248,447,79502301,52539,5169384,431,0,25,0,0,0,0,0,0,0,0,0,0,0,0
81,1712876607000,right,79587629,52598,178160,18,79549179,52573,375024,34,0,25,0,0,0,0,0,0,0,0,0,0,0,0
82,1712876608000,right,79610440,52622,182488,24,79571990,52597,182488,24,0,25,0,0,0,0,0,0,0,0,0,0,0,0
83,1712876609000,right,80646166,53305,8285808,683,80607716,53280,8285808,683,0,25,0,0,0,0,0,0,0,0,0,0,0,0
84,1712876610000,right,80988739,53536,2740584,231,80756501,53385,1190280,105,0,25,0,0,0,0,0,0,0,0,0,0,0,0
85,1712876611000,right,81644674,53966,5247480,430,81606224,53941,6797784,556,0,25,0,0,0,0,0,0,0,0,0,0,0,0
86,1712876612000,right,82720552,54676,8607024,710,82414927,54476,6469624,535,0,25,0,0,0,0,0,0,0,0,0,0,0,0
87,1712876613000,right,82721243,54680,5528,4,82682793,54655,2142928,179,0,25,0,0,0,0,0,0,0,0,0,0,0,0
88,1712876614000,right,16543,19,132344,19,818,6,6544,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1712876615000,right,396967,271,3043392,252,335363,230,2676360,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1712876616000,right,969662,646,4581560,375,875844,585,4323848,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1712876617000,right,1201891,799,1857832,153,1201891,799,2608376,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1712876618000,right,1201975,800,672,1,1201975,800,672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1712876619000,right,1202756,805,6248,5,1202666,804,5528,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1712876620000,right,1202988,807,1856,2,1202988,807,2576,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1712876621000,right,1203132,808,1152,1,1203132,808,1152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1712876622000,right,1204056,811,7392,3,1203691,810,4472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1712876623000,right,1204342,813,2288,2,1204342,813,5208,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1712876624000,right,1313676,889,874672,76,1310600,887,850064,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1712876625000,right,1436263,982,980696,93,1374743,942,513144,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1712876626000,right,1737950,1191,2413496,209,1653758,1136,2232120,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1712876627000,right,2465999,1674,5824392,483,2465999,1674,6497928,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1712876628000,right,3577901,2410,8895216,736,3150076,2130,5472616,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1712876629000,right,4334502,2914,6052808,504,4334502,2914,9475408,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1712876630000,right,5577554,3738,9944416,824,5393398,3618,8471168,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
