Time,Buffer,BandWidth,BitrateLevel,Clientnum
1712878409.170751,2,3012.6287625418063,1,1
1712878409.8048193,4,3583.9729344493953,1,1
1712878410.4945803,5.333938,4754.462649343127,3,1
1712878410.96544,6.965419,5369.983785441469,3,1
1712878411.634544,8.198307,6476.318881383333,5,1
1712878412.1154716,9.708334,16594.005467995506,5,1
1712878412.5728557,11.250001000000001,19996.69765182552,3,1
1712878413.0310745,12.803079,6667.19586415209,0,1
1712878413.3836255,14.435251000000001,3752.5689400385054,0,1
1712878413.7299435,16.108282,2174.7018040735074,0,1
1712878414.0803206,17.746412,1522.3075907256186,0,1
1712878414.628629,19.208334,1487.7090598921113,1,1
1712878415.2839842,20.558163999999998,2097.6768780860803,3,1
1712878415.7433841,22.067842,2539.0835133599517,3,1
1712878416.538706,23.291668,4471.502756179892,5,1
1712878417.3295329,24.482792,9536.22094557466,5,1
1712878418.131163,25.708334,20140.084561326556,5,1
1712878418.8157609,27.000000999999997,30205.104121992255,5,1
1712878419.7227793,28.125000999999997,30288.03386876269,5,1
1712878420.6310394,29.184367,29677.234315317044,5,1
1712878421.5237873,30.291668,29446.936898092496,5,1
1712878422.4158835,31.400537,29232.402596058844,5,1
1712878423.284176,32.541668,28563.506904025806,5,1
1712878424.163014,33.666668,27604.244357309028,5,1
1712878424.9902022,34.833334,26542.83744489861,5,1
1712878425.5511432,36.265496999999996,25486.753900888893,5,1
1712878426.1015892,37.74165,24176.103633683124,5,1
1712878426.7706172,39.041668,23199.661712477824,5,1
1712878427.548127,40.270309,22720.62989457736,5,1
1712878428.3065422,41.541668,22225.95118135861,5,1
1712878429.0876286,42.725107,22673.774957455313,5,1
1712878429.7664459,44.040974,23706.225323799757,5,1
1712878430.4236424,45.388234,23944.358293096393,5,1
1712878431.091681,46.739829,23838.920607936656,5,1
1712878431.761758,48.083334,24287.22684625204,5,1
1712878432.3246062,49.513359,24577.2966813766,5,1
1712878432.88149,50.949912999999995,23846.510818498366,5,1
1712878433.439622,52.375001,24127.553721778215,5,1
1712878434.0043993,53.801825,25142.45728257317,5,1
1712878434.5808916,55.264356,25806.01110960556,5,1
1712878435.252257,56.566126,25916.528422332132,5,1
1712878435.9157827,57.908066000000005,26057.0145029678,5,1
1712878436.5911372,59.250001,26567.06253965617,5,1
1712878438.3765192,59.583334,25332.35707265543,5,1
1712878440.4287877,59.625001,18109.20140220348,5,1
1712878441.9958274,59.916668,15148.757837390493,5,1
1712878444.4014313,59.625001,14818.666643809125,5,1
1712878446.3708994,59.663895,13660.805796909672,5,1
1712878447.9478388,59.958334,13009.355479872454,5,1
1712878450.4867122,59.457814,15354.631113852125,5,1
1712878451.8457146,59.995707,16897.10494973578,5,1
1712878454.1279242,59.833334,17556.43033618354,5,1
1712878456.2213206,59.833334,18209.692329216043,5,1
1712878458.1952546,59.625001,18585.69641533061,5,1
1712878460.385464,59.708334,17219.66681620197,5,1
1712878462.2977154,59.785333,17509.31684342348,5,1
1712878464.1972623,59.791668,18333.187306130938,5,1
1712878466.3544505,59.540727,20518.19122923944,5,1
1712878468.634552,59.208334,23088.648729582164,5,1
1712878470.5499277,59.290716,25779.378469333747,5,1
1712878472.0909147,59.746452,27020.857180697683,5,1
1712878474.4200952,59.458333999999994,27008.15074363333,5,1
1712878476.0469253,59.779517,25572.19548223825,5,1
1712878478.1440678,59.791668,25647.898749346376,5,1
1712878480.3092127,59.500001,24768.235048325758,5,1
1712878482.107473,59.70622,25239.19662924016,5,1
1712878483.9648867,59.875001,25755.31149662469,5,1
1712878486.2658043,59.58112800000001,27921.167987478362,5,1
1712878488.2337112,59.666668,26445.073461356926,5,1
1712878489.9209743,59.957013,24117.564637486368,5,1
1712878491.9188902,59.958333999999994,23345.69733861803,5,1
1712878494.0918107,59.958333999999994,20943.36689836,5,1
1712878496.2925432,59.708333999999994,19012.856797182532,5,1
1712878498.4900236,59.500001,19014.43703554078,5,1
1712878499.904455,59.911461,19060.000327479782,5,1
