Time,Buffer,BandWidth,BitrateLevel,Clientnum
1712878180.6002316,2,3043.1621621621625,1,1
1712878181.23399,4,3621.4872385914855,1,1
1712878181.89456,5.375001,4797.113398067913,3,1
1712878182.252016,7.008241,5423.6858911158315,3,1
1712878182.611537,8.643737999999999,5995.083801341609,3,1
1712878183.1806436,10.080351,15759.000808252427,5,1
1712878183.7410836,11.513425999999999,19868.58772311855,5,1
1712878184.1926246,13.070323,24628.045834719243,3,1
1712878184.6572433,14.620163999999999,6568.14164502127,0,1
1712878185.0049694,16.248897,3462.810808174664,0,1
1712878185.3488283,17.884457,2203.8957977682767,0,1
1712878185.6946886,19.557138000000002,1297.2843340302666,0,1
1712878186.2494075,20.986804,1376.8013283782511,1,1
1712878186.808073,22.458334,1789.6947351681392,3,1
1712878187.7107625,23.530002,3318.710135518458,5,1
1712878188.5045686,24.750001,5820.625016414961,5,1
1712878189.2945013,25.979806,14732.817869319133,5,1
1712878189.974998,27.291668,24949.00609306959,5,1
1712878190.949778,28.318033,27279.00371480267,5,1
1712878191.9607325,29.291668,26884.671937221276,5,1
1712878192.9577706,30.309412000000002,25779.886953499026,5,1
1712878193.8518457,31.416668,25642.716930248713,5,1
1712878194.715534,32.542326,25380.380219483915,5,1
1712878195.5815418,33.664328,25425.413943955788,5,1
1712878196.365135,34.875001,25749.691585267592,5,1
1712878196.9216857,36.333334,25595.582045176427,5,1
1712878197.4735372,37.761443,24391.0578681056,5,1
1712878198.139597,39.113546,23353.87877234769,5,1
1712878198.9212368,40.333334,22990.95203508736,5,1
1712878199.691488,41.560572,22029.779647727097,5,1
1712878200.4519007,42.791668,22592.514976897983,5,1
1712878201.1270666,44.140883,23675.67770183071,5,1
1712878201.789063,45.454715,23949.2540157835,5,1
1712878202.4590166,46.791668,23875.81097019992,5,1
1712878203.127106,48.142604,24204.46293711145,5,1
1712878203.6914124,49.572083,24573.674654129947,5,1
1712878204.2450686,51.000001,23783.625819685163,5,1
1712878204.8042247,52.468362,24000.601989842304,5,1
1712878205.3616977,53.904429,25006.54670058062,5,1
1712878205.9238555,55.333334,25565.053055528053,5,1
1712878206.5951126,56.645179999999996,25864.72282026861,5,1
1712878207.2545793,57.997687,25952.61715162302,5,1
1712878207.9311254,59.333334,26508.92700055543,5,1
1712878209.5951421,59.912478,27113.9386052801,5,1
1712878211.964688,59.750001,21053.582716743855,5,1
1712878213.4422812,59.875001,17694.224622471356,5,1
1712878215.6179183,59.875001,17950.102744821714,5,1
1712878217.5890007,59.708334,15604.274010769688,5,1
1712878219.5711253,59.708334,14861.741358501122,5,1
1712878221.3615665,59.996813,17517.401533207405,5,1
1712878223.8400493,59.500001,20183.49952453877,5,1
1712878225.922527,59.539372,18546.402434704094,5,1
1712878227.897587,59.541668,20066.92577907354,5,1
1712878229.858436,59.583334,19743.89207078382,5,1
1712878231.4439104,59.916668,18195.632868064655,5,1
1712878233.5258582,59.916668,18307.356762951742,5,1
1712878235.2589865,59.994979,19501.197720554403,5,1
1712878237.9074135,59.500001,21187.215447096893,5,1
1712878240.3779068,58.875001,22976.437865138665,5,1
1712878242.4151766,58.875001,24496.885961203585,5,1
1712878243.8172202,59.459194,24619.921084250338,5,1
1712878245.502696,59.875001,26256.380267008575,5,1
1712878247.8488684,59.583333999999994,26343.76285710215,5,1
1712878249.5950148,59.668167999999994,27099.23855650354,5,1
1712878251.760185,59.708333999999994,28674.005938485763,5,1
1712878253.3137915,59.958333999999994,29727.973745844585,5,1
1712878255.8216136,59.583333999999994,30990.11960035603,5,1
1712878257.3711138,59.874363,30666.079572085764,5,1
1712878259.7512088,59.666668,31143.93604884737,5,1
1712878261.542119,59.955257,24681.631614774673,5,1
1712878263.6394207,59.707854,22675.779032442326,5,1
1712878265.9746864,59.708333999999994,19328.731805141888,5,1
1712878267.2919602,59.957842,17579.041953294643,5,1
1712878269.376231,59.875001,17620.804441148637,5,1
1712878271.4303174,59.960983,17563.906629147787,5,1
1712878273.7856934,59.791668,6360.236377019206,5,1
