Time,Buffer,BandWidth,BitrateLevel,Clientnum
1712878291.0644627,2,2992.611295681063,1,1
1712878291.7253516,4,3559.3458657853143,1,1
1712878292.392718,5.375001,4716.32945352569,3,1
1712878292.8429153,6.884437,5328.237440929444,3,1
1712878293.5134287,8.240205,6418.554329550239,5,1
1712878293.878477,9.875001000000001,15604.06187127549,3,1
1712878294.3296819,11.426041,18617.22053038613,3,1
1712878294.7983618,12.936956,24733.440841594685,5,1
1712878295.2592044,14.49131,27192.576731092482,5,1
1712878295.716167,16.039316,30912.55290845849,5,1
1712878296.1669707,17.581381,37820.017870266696,5,1
1712878296.618961,19.133302999999998,45053.17944656399,5,1
1712878297.0858722,20.648786,45246.06244240548,5,1
1712878297.5503519,22.20497,44865.70132121481,5,1
1712878298.1543248,23.583334,50173.256449405315,5,1
1712878298.7551959,25.014198,54620.3416181876,5,1
1712878299.4214404,26.330117,51352.14052238012,5,1
1712878300.0864792,27.643230000000003,42710.02344767652,5,1
1712878300.9948533,28.74717,36884.18836207753,5,1
1712878302.166118,29.564311,26142.91077316627,5,1
1712878303.3429987,30.389426,22382.52667778036,5,1
1712878304.442695,31.289938,20869.680228423975,5,1
1712878305.524524,32.232903,19934.41788488738,5,1
1712878306.506465,33.251241,19112.637605269116,5,1
1712878307.3868058,34.349585,19524.583870539263,5,1
1712878307.9533782,35.785868,20008.425812279063,5,1
1712878308.5147057,37.215912,20068.7556001363,5,1
1712878309.1855772,38.565394999999995,20812.102988877406,5,1
1712878310.0640986,39.666668,20304.671135039276,5,1
1712878310.8850348,40.85703,19940.25523293469,5,1
1712878311.7518973,42.000376,19637.287151623495,5,1
1712878312.5304608,43.232286,19884.81360655036,5,1
1712878313.2098298,44.541668,19959.83963775989,5,1
1712878313.8630624,45.894406000000004,20762.331934197002,5,1
1712878314.5381396,47.208334,21336.397535223125,5,1
1712878315.200034,48.551001,21341.357649658996,5,1
1712878315.7825758,49.982890999999995,21649.036356060453,5,1
1712878316.5485158,51.208334,17755.633128768754,5,1
1712878317.3125587,52.433820999999995,15888.249626463421,5,1
1712878318.0740194,53.666668,14334.595628441288,5,1
1712878319.043946,54.685714000000004,13598.947439216492,5,1
1712878319.9052882,55.833334,13376.217201759913,5,1
1712878320.7778928,56.974233999999996,14164.056772294547,5,1
1712878321.7568169,58.000001,14441.049723617085,5,1
1712878322.619671,59.148201,14541.343291496632,5,1
1712878324.5827947,59.209327,14750.789904173831,5,1
1712878325.7597117,59.982768,13365.364201863784,5,1
1712878328.631863,59.208334,13269.225204292143,5,1
1712878329.9133337,59.833334,12198.427250178767,5,1
1712878331.8596675,59.916668,13218.757930835733,5,1
1712878334.1726842,59.666668,13975.066978578852,5,1
1712878336.359009,59.708334,14712.24581602702,5,1
1712878337.9902718,59.750001,14776.664058029264,5,1
1712878340.2616274,59.500001,16636.65255371381,5,1
1712878341.941386,59.791668,16719.69343321105,5,1
1712878344.6171546,59.541668,17365.74849649087,5,1
1712878346.1570578,59.583334,20057.492429842263,5,1
1712878347.8089697,59.958334,22603.833304752032,5,1
1712878350.0135448,59.750001,23896.65660113829,5,1
1712878352.0439997,59.70578,26210.9329459213,5,1
1712878354.6207101,59.500001,26659.300476072556,5,1
1712878356.0582852,59.577392,25977.69362510831,5,1
1712878358.382854,59.833333999999994,26087.482652468752,5,1
1712878360.435113,59.333333999999994,24009.448543635575,5,1
1712878362.5518649,59.208333999999994,23746.55122655214,5,1
1712878364.2786133,59.458845999999994,23981.657223720595,5,1
1712878366.3017917,59.456154999999995,24780.66479451276,5,1
1712878367.8989534,59.833333999999994,24443.446527738106,5,1
1712878369.8646963,59.916668,24811.87907043634,5,1
1712878372.260593,59.625001,21092.63093866,5,1
1712878374.2334125,59.666201,18150.219338730898,5,1
1712878376.0347722,59.708333999999994,16449.788927414153,5,1
1712878378.339822,59.750001,15314.392964523133,5,1
1712878380.0392241,59.708333999999994,13747.593208054079,5,1
1712878382.1180155,59.833333999999994,13985.559762048726,5,1
1712878383.9716852,59.833333999999994,6524.18669155123,5,1
