Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-10 03:52:50,31.205,3886,1,1,0,0.28 | 0.28 | 0.30,0.33 | 0.40 | 0.54,3.69 | 5.02 | 6.01
2024-04-10 03:52:51,31.205,3886,1,1,0,0.28 | 0.28 | 0.30,0.33 | 0.40 | 0.54,3.69 | 5.02 | 6.01
2024-04-10 03:52:51,30.144,3886,1,1,0,0.28 | 0.28 | 0.30,0.33 | 0.40 | 0.54,3.69 | 5.02 | 6.01
2024-04-10 03:52:52,30.144,3886,1,1,0,0.28 | 0.28 | 0.30,0.33 | 0.40 | 0.54,3.69 | 5.02 | 6.01
2024-04-10 03:52:52,29.351,3886,1,1,0,0.28 | 0.28 | 0.30,0.33 | 0.40 | 0.54,3.69 | 5.02 | 6.01
2024-04-10 03:52:53,29.351,3886,1,1,0,0.28 | 0.28 | 0.30,0.33 | 0.40 | 0.54,3.69 | 5.02 | 6.01
2024-04-10 03:52:53,30.277,3886,1,1,0,0.28 | 0.28 | 0.28,0.34 | 0.45 | 0.54,3.69 | 4.45 | 5.90
2024-04-10 03:52:54,30.277,3886,1,1,0,0.28 | 0.28 | 0.28,0.34 | 0.45 | 0.54,3.69 | 4.45 | 5.90
2024-04-10 03:52:54,29.211,3886,1,1,0,0.28 | 0.28 | 0.28,0.34 | 0.45 | 0.54,3.69 | 4.45 | 5.90
2024-04-10 03:52:55,29.211,3886,1,1,0,0.28 | 0.28 | 0.28,0.34 | 0.45 | 0.54,3.69 | 4.45 | 5.90
2024-04-10 03:52:55,30.163,3886,1,1,0,0.28 | 0.28 | 0.29,0.34 | 0.45 | 0.54,3.73 | 4.47 | 5.90
2024-04-10 03:52:56,30.163,3886,1,1,0,0.28 | 0.28 | 0.29,0.34 | 0.45 | 0.54,3.73 | 4.47 | 5.90
2024-04-10 03:52:56,29.113,3886,1,1,0,0.28 | 0.28 | 0.29,0.34 | 0.45 | 0.54,3.73 | 4.47 | 5.90
2024-04-10 03:52:57,29.113,3886,1,1,0,0.28 | 0.28 | 0.29,0.34 | 0.45 | 0.54,3.73 | 4.47 | 5.90
2024-04-10 03:52:57,30.287,3886,1,1,0,0.28 | 0.28 | 0.29,0.33 | 0.43 | 0.54,3.73 | 4.61 | 6.10
2024-04-10 03:52:58,30.287,3886,1,1,0,0.28 | 0.28 | 0.29,0.33 | 0.43 | 0.54,3.73 | 4.61 | 6.10
2024-04-10 03:52:58,29.232,3886,1,1,0,0.28 | 0.28 | 0.29,0.33 | 0.43 | 0.54,3.73 | 4.61 | 6.10
2024-04-10 03:52:59,29.232,3886,1,1,0,0.28 | 0.28 | 0.29,0.33 | 0.43 | 0.54,3.73 | 4.61 | 6.10
2024-04-10 03:52:59,30.168,3886,1,1,0,0.28 | 0.28 | 0.29,0.33 | 0.49 | 0.58,3.45 | 4.05 | 6.10
