Time,Buffer_Length,Bitrate_Downloading,Index_Downloading,Index_playing,Dropped_Frame,Latency,Download,Ratio
2024-04-10 03:46:57,3.178,647,0.4,1,0,0.00 | 0.17 | 0.33,0.49 | 0.60 | 0.71,2.82 | 3.32 | 4.04
2024-04-10 03:46:58,3.178,647,0.4,1,0,0.00 | 0.17 | 0.33,0.49 | 0.60 | 0.71,2.82 | 3.32 | 4.04
2024-04-10 03:46:58,8.201,647,0.4,1,0,0.00 | 0.10 | 0.39,0.05 | 0.28 | 0.49,4.04 | 7.11 | 38.46
2024-04-10 03:46:59,8.201,1093,0.6,0.4,0,0.00 | 0.10 | 0.39,0.05 | 0.28 | 0.49,4.04 | 7.11 | 38.46
2024-04-10 03:46:59,11.15,1093,0.6,0.4,0,0.00 | 0.00 | 0.00,0.28 | 0.29 | 0.31,6.39 | 6.84 | 7.17
2024-04-10 03:47:00,11.15,1904,0.8,0.4,0,0.00 | 0.00 | 0.00,0.28 | 0.29 | 0.31,6.39 | 6.84 | 7.17
2024-04-10 03:47:00,14.263,1904,0.8,0.4,0,0.00 | 0.00 | 0.00,0.28 | 0.29 | 0.31,6.39 | 6.82 | 7.17
2024-04-10 03:47:01,14.263,1904,0.8,0.4,0,0.00 | 0.00 | 0.00,0.28 | 0.29 | 0.31,6.39 | 6.82 | 7.17
2024-04-10 03:47:01,17.171,1904,0.8,0.4,0,0.00 | 0.07 | 0.28,0.14 | 0.25 | 0.30,6.67 | 7.91 | 13.99
2024-04-10 03:47:02,17.171,3886,1,0.4,0,0.00 | 0.07 | 0.28,0.14 | 0.25 | 0.30,6.67 | 7.91 | 13.99
2024-04-10 03:47:02,18.217,3886,1,0.4,0,0.00 | 0.16 | 0.35,0.14 | 0.30 | 0.46,4.31 | 6.69 | 13.99
2024-04-10 03:47:03,18.217,3886,1,0.4,0,0.00 | 0.16 | 0.35,0.14 | 0.30 | 0.46,4.31 | 6.69 | 13.99
2024-04-10 03:47:03,21.169,3886,1,0.4,2,0.00 | 0.23 | 0.35,0.01 | 0.28 | 0.46,4.31 | 7.26 | 200.00
2024-04-10 03:47:04,21.169,3886,1,0.4,2,0.00 | 0.23 | 0.35,0.01 | 0.28 | 0.46,4.31 | 7.26 | 200.00
2024-04-10 03:47:04,24.244,3886,1,0.4,2,0.28 | 0.31 | 0.39,0.01 | 0.29 | 0.68,2.95 | 6.88 | 200.00
2024-04-10 03:47:05,24.244,3886,1,0.4,2,0.28 | 0.31 | 0.39,0.01 | 0.29 | 0.68,2.95 | 6.88 | 200.00
2024-04-10 03:47:05,29.173,3886,1,0.4,2,0.28 | 0.29 | 0.30,0.02 | 0.08 | 0.13,15.04 | 25.64 | 86.96
2024-04-10 03:47:06,29.173,3886,1,0.4,2,0.28 | 0.29 | 0.30,0.02 | 0.08 | 0.13,15.04 | 25.64 | 86.96
2024-04-10 03:47:06,30.232,3886,1,0.4,2,0.28 | 0.31 | 0.39,0.02 | 0.14 | 0.37,5.43 | 14.63 | 86.96
2024-04-10 03:47:07,30.232,3886,1,0.4,2,0.28 | 0.31 | 0.39,0.02 | 0.14 | 0.37,5.43 | 14.63 | 86.96
