QoE
3428
3449
1632
3223
1576
2292
2988
3464
1718
3454
1722
3285
3604
1722
3457
3527
1659
3436
3490
3494
3533
3460
3555
3369
3505
3271
1715
1144
1814
3251
3245
3156
3102
3057
3089
3189

